"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Li2 La3 Zn2 Pd7)
Reduced Formula: Li2La3Zn2Pd7
abc   :   4.232918   7.307049   9.011477
angles:  94.178492  89.695851  88.512071
pbc   :       True       True       True
Sites (14)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  Zn     0.949337  0.485797  0.142669  [0.02013787254691124, 0.026662440970540047, 0.0181504525244236]
  1  Pd     0.939778  0.832666  0.252577  [0.016735196113586426, 0.04153866320848465, -0.020556733012199402]
  2  Pd     0.457152  0.370196  0.988861  [0.011732307262718678, 0.013220474123954773, 0.0020922720432281494]
  3  Pd     0.947113  0.727625  0.928501  [0.008800547569990158, 0.014974087476730347, -0.007260464131832123]
  4  Li     0.442688  0.737201  0.088561  [0.017438873648643494, -0.024006392806768417, -0.006361769512295723]
  5  Pd     0.955446  0.426494  0.432397  [0.0029683727771043777, -0.01759929209947586, 0.02619350329041481]
  6  La     0.487505  1.02563   0.80412   [-0.03673454374074936, -0.014583364129066467, -0.006247170269489288]
  7  Pd    -0.023486  1.0535    0.534018  [-0.02016480453312397, -0.018086262047290802, 0.008467167615890503]
  8  Zn     0.453526  0.599178  0.790536  [0.0031365491449832916, -0.007196898106485605, -0.010992567986249924]
  9  Pd     0.461839  0.315426  0.605894  [-0.0054618194699287415, -0.01938462257385254, 0.011974242515861988]
 10  La     0.438851  0.707655  0.453418  [0.01692667230963707, -0.014898769557476044, -0.027299806475639343]
 11  Li     0.961927  0.382752  0.774195  [-0.0037184846587479115, -0.020211881026625633, 0.03337916359305382]
 12  La     0.464709  0.171093  0.281464  [-0.008359559811651707, 0.0026078708469867706, -0.004639852792024612]
 13  Pd     0.978805  0.108013  0.041985  [-0.023437131196260452, 0.03696395829319954, -0.016898423433303833]","Li2La3Zn2Pd7","('La', 'Li', 'Pd', 'Zn')","0.004829549363492923","0.0","# generated using pymatgen
data_Li2La3Zn2Pd7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.23291845
_cell_length_b   7.30704932
_cell_length_c   9.01147662
_cell_angle_alpha   94.17849228
_cell_angle_beta   89.69585080
_cell_angle_gamma   88.51207083
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2La3Zn2Pd7
_chemical_formula_sum   'Li2 La3 Zn2 Pd7'
_cell_volume   277.88440700
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.94933662  0.48579685  0.14266856  1
  Pd  Pd1  1  0.93977809  0.83266631  0.25257726  1
  Pd  Pd2  1  0.45715176  0.37019619  0.98886119  1
  Pd  Pd3  1  0.94711342  0.72762546  0.92850117  1
  Li  Li4  1  0.44268788  0.73720084  0.08856123  1
  Pd  Pd5  1  0.95544584  0.42649429  0.43239730  1
  La  La6  1  0.48750453  1.02563038  0.80412042  1
  Pd  Pd7  1  -0.02348566  1.05350474  0.53401772  1
  Zn  Zn8  1  0.45352630  0.59917823  0.79053566  1
  Pd  Pd9  1  0.46183852  0.31542581  0.60589436  1
  La  La10  1  0.43885137  0.70765474  0.45341769  1
  Li  Li11  1  0.96192739  0.38275178  0.77419531  1
  La  La12  1  0.46470901  0.17109274  0.28146392  1
  Pd  Pd13  1  0.97880508  0.10801329  0.04198501  1
"
"Full Formula (Eu1 Er1 Tm2 Lu4)
Reduced Formula: EuEr(TmLu2)2
abc   :   5.751843   7.030152   7.036002
angles: 119.976819  89.935747  89.922015
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Er    0.413658  0.223686  0.304189  [-0.002194564091041684, -0.0026360435876995325, -0.013200255110859871]
  1  Tm    0.912331  0.391516  0.125862  [0.0016800817102193832, -0.007966470904648304, 0.028332797810435295]
  2  Tm    0.412863  0.718437  0.807558  [9.520025923848152e-05, -0.018793558701872826, 0.02219865843653679]
  3  Lu    0.913584  0.888781  0.128625  [-0.0008507297607138753, 0.004765182733535767, 0.0035370630212128162]
  4  Eu    0.912943  0.88727   0.629002  [0.0003548885288182646, 0.0026855813339352608, 0.010148774832487106]
  5  Lu    0.412721  0.23527   0.813822  [-5.2921444876119494e-05, 0.016822174191474915, -0.03362070769071579]
  6  Lu    0.413709  0.718055  0.291666  [-0.0014295094879344106, -0.0051764510571956635, -0.026372216641902924]
  7  Lu    0.912069  0.386386  0.627167  [0.0023975542280822992, 0.010299582965672016, 0.008975885808467865]","EuEr(TmLu2)2","('Er', 'Eu', 'Lu', 'Tm')","0.0","0.0","# generated using pymatgen
data_EuEr(TmLu2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.75184275
_cell_length_b   7.03015188
_cell_length_c   7.03600192
_cell_angle_alpha   119.97681893
_cell_angle_beta   89.93574694
_cell_angle_gamma   89.92201534
_symmetry_Int_Tables_number   1
_chemical_formula_structural   EuEr(TmLu2)2
_chemical_formula_sum   'Eu1 Er1 Tm2 Lu4'
_cell_volume   246.44973191
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Er  Er0  1  0.41365818  0.22368623  0.30418922  1
  Tm  Tm1  1  0.91233064  0.39151553  0.12586236  1
  Tm  Tm2  1  0.41286348  0.71843709  0.80755850  1
  Lu  Lu3  1  0.91358440  0.88878109  0.12862527  1
  Eu  Eu4  1  0.91294347  0.88727035  0.62900215  1
  Lu  Lu5  1  0.41272083  0.23526966  0.81382189  1
  Lu  Lu6  1  0.41370866  0.71805501  0.29166625  1
  Lu  Lu7  1  0.91206880  0.38638609  0.62716744  1
"
"Full Formula (Pr2 Fe1 Os2 Ru1)
Reduced Formula: Pr2FeOs2Ru
abc   :   5.395331   5.218474   5.525665
angles:  61.778348  61.383830  61.047291
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Pr    0.120805  0.478647  0.217669  [0.009647421538829803, -0.010499842464923859, -0.013851936906576157]
  1  Pr    0.3734    0.726365  0.469626  [0.004933169111609459, -0.009542526677250862, -0.01414303109049797]
  2  Os    0.748779  0.102791  0.844829  [-0.013922501355409622, 0.017188843339681625, -0.009113945998251438]
  3  Os    0.746754  0.606348  0.841034  [-0.010785013437271118, -0.00943530909717083, 0.022254642099142075]
  4  Fe    0.245663  0.103411  0.843438  [0.003030715510249138, -0.005170814227312803, 0.006922855973243713]
  5  Ru    0.74716   0.101251  0.343337  [0.007096272427588701, 0.017459608614444733, 0.007931379601359367]","Pr2FeOs2Ru","('Fe', 'Os', 'Pr', 'Ru')","0.0","1.0","# generated using pymatgen
data_Pr2FeOs2Ru
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.39533103
_cell_length_b   5.21847397
_cell_length_c   5.52566497
_cell_angle_alpha   61.77834800
_cell_angle_beta   61.38383014
_cell_angle_gamma   61.04729070
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pr2FeOs2Ru
_chemical_formula_sum   'Pr2 Fe1 Os2 Ru1'
_cell_volume   113.46821540
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.12080550  0.47864680  0.21766871  1
  Pr  Pr1  1  0.37340031  0.72636490  0.46962604  1
  Os  Os2  1  0.74877911  0.10279095  0.84482928  1
  Os  Os3  1  0.74675445  0.60634845  0.84103403  1
  Fe  Fe4  1  0.24566280  0.10341128  0.84343762  1
  Ru  Ru5  1  0.74716046  0.10125146  0.34333740  1
"
"Full Formula (Li2 Cu6 O4)
Reduced Formula: LiCu3O2
abc   :   5.060469   4.838021   8.306050
angles: 108.592919 127.684248  90.201175
pbc   :       True       True       True
Sites (12)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  Cu     0.1961    0.890036  0.816778  [0.025981277227401733, -0.01332950871437788, 0.004358395934104919]
  1  O      0.435298  0.171205  0.804855  [-0.018101081252098083, -0.013211965560913086, -0.005134105682373047]
  2  Cu     0.333861  0.649465  0.423339  [-0.027696756646037102, -0.005226172506809235, 0.0006641666404902935]
  3  O     -0.04722   0.596803  0.816755  [0.04566235840320587, -0.0003050565719604492, 0.00791604071855545]
  4  O      0.593292  0.943471  0.439062  [-0.0004901289939880371, -0.00725969672203064, 0.01499868929386139]
  5  Cu     0.857315  0.899844  0.204208  [0.016271136701107025, 0.01995745301246643, -0.014439830556511879]
  6  Li     0.516997  0.259623  0.616855  [0.005826298147439957, 0.021668357774615288, 0.0041214898228645325]
  7  O      1.07109   0.347668  0.407404  [-0.034334927797317505, 0.009021192789077759, -0.005618929862976074]
  8  Cu     0.731458  0.34959   0.119385  [-0.050098419189453125, 0.015427589416503906, -0.011629324406385422]
  9  Cu     0.291234  0.761753  0.131154  [0.05837017297744751, -0.004577919840812683, 0.011877242475748062]
 10  Li    -0.002229  0.279138  0.601277  [-0.0493864044547081, -0.028173327445983887, -0.00782780908048153]
 11  Cu     0.710774  0.888003  0.836001  [0.027996422722935677, 0.006009041331708431, 0.0007140189409255981]","LiCu3O2","('Cu', 'Li', 'O')","0.16941214922426528","1.0","# generated using pymatgen
data_LiCu3O2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.06046909
_cell_length_b   4.83802085
_cell_length_c   8.30605009
_cell_angle_alpha   108.59291915
_cell_angle_beta   127.68424757
_cell_angle_gamma   90.20117491
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCu3O2
_chemical_formula_sum   'Li2 Cu6 O4'
_cell_volume   147.09961841
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.19610008  0.89003563  0.81677799  1
  O  O1  1  0.43529762  0.17120469  0.80485505  1
  Cu  Cu2  1  0.33386051  0.64946463  0.42333866  1
  O  O3  1  -0.04721973  0.59680291  0.81675531  1
  O  O4  1  0.59329203  0.94347109  0.43906222  1
  Cu  Cu5  1  0.85731502  0.89984352  0.20420817  1
  Li  Li6  1  0.51699718  0.25962250  0.61685475  1
  O  O7  1  1.07108958  0.34766757  0.40740373  1
  Cu  Cu8  1  0.73145777  0.34959008  0.11938541  1
  Cu  Cu9  1  0.29123408  0.76175279  0.13115418  1
  Li  Li10  1  -0.00222902  0.27913784  0.60127705  1
  Cu  Cu11  1  0.71077356  0.88800300  0.83600085  1
"
"Full Formula (Ba4 Mg3 Hg3)
Reduced Formula: Ba4(MgHg)3
abc   :   5.141589   8.976463   8.092149
angles:  98.938801  90.068445  89.995967
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Hg    0.98859   0.454728  0.231519  [-0.00011498924868647009, -0.017509907484054565, -0.0018877312541007996]
  1  Hg    0.485375  0.964637  0.369443  [0.006351892836391926, 0.019056135788559914, 0.04278605803847313]
  2  Mg    0.490555  0.233765  0.602368  [-0.005369498394429684, 0.025613103061914444, 0.012688683345913887]
  3  Ba    0.989411  0.944734  0.713389  [-0.003184310160577297, -0.014362335205078125, -0.019608616828918457]
  4  Ba    0.488907  0.606926  0.452363  [-0.00026388175319880247, -0.00931531935930252, -0.031180139631032944]
  5  Ba    0.489024  0.188307  0.071766  [0.00045345164835453033, -0.007028006017208099, -0.013978876173496246]
  6  Hg    0.489339  0.775979  0.951681  [0.0008854180341586471, -0.01902368664741516, 0.039101727306842804]
  7  Mg    0.98623   0.82145   0.191964  [0.004174286965280771, 0.020124526694417, 0.0028355997055768967]
  8  Ba    0.990061  0.495117  0.823534  [-0.001615310669876635, 0.011894412338733673, -0.027715127915143967]
  9  Mg    0.989452  0.191704  0.395908  [-0.0013170544989407063, -0.00944894552230835, -0.0030415761284530163]","Ba4(MgHg)3","('Ba', 'Hg', 'Mg')","0.0","2.0","# generated using pymatgen
data_Ba4(MgHg)3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.14158934
_cell_length_b   8.97646278
_cell_length_c   8.09214913
_cell_angle_alpha   98.93880080
_cell_angle_beta   90.06844495
_cell_angle_gamma   89.99596676
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba4(MgHg)3
_chemical_formula_sum   'Ba4 Mg3 Hg3'
_cell_volume   368.94304791
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hg  Hg0  1  0.98859017  0.45472806  0.23151904  1
  Hg  Hg1  1  0.48537542  0.96463652  0.36944276  1
  Mg  Mg2  1  0.49055491  0.23376511  0.60236835  1
  Ba  Ba3  1  0.98941068  0.94473364  0.71338893  1
  Ba  Ba4  1  0.48890682  0.60692589  0.45236317  1
  Ba  Ba5  1  0.48902403  0.18830748  0.07176590  1
  Hg  Hg6  1  0.48933875  0.77597898  0.95168101  1
  Mg  Mg7  1  0.98623030  0.82144981  0.19196351  1
  Ba  Ba8  1  0.99006080  0.49511706  0.82353381  1
  Mg  Mg9  1  0.98945172  0.19170360  0.39590785  1
"
"Full Formula (Gd1 Ag1 Hg2)
Reduced Formula: GdAgHg2
abc   :   5.082487   5.068810   5.072429
angles:  60.010134  59.782351  59.849167
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Ag    1.10639   0.470366  0.460395  [0.01192296389490366, 0.011794675141572952, 0.032505929470062256]
  1  Gd    0.607067  0.971619  0.962547  [0.0016489997506141663, -0.004849836230278015, -0.013661561533808708]
  2  Hg    0.357765  0.72208   0.712688  [-0.016743600368499756, -0.009625784121453762, -0.02261030673980713]
  3  Hg    0.856706  0.220927  0.211716  [0.0031716693192720413, 0.002680928446352482, 0.0037659350782632828]","GdAgHg2","('Ag', 'Gd', 'Hg')","0.0","2.0","# generated using pymatgen
data_GdAgHg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.08248694
_cell_length_b   5.06881001
_cell_length_c   5.07242888
_cell_angle_alpha   60.01013373
_cell_angle_beta   59.78235106
_cell_angle_gamma   59.84916736
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdAgHg2
_chemical_formula_sum   'Gd1 Ag1 Hg2'
_cell_volume   92.15119442
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  1.10639046  0.47036612  0.46039481  1
  Gd  Gd1  1  0.60706730  0.97161885  0.96254694  1
  Hg  Hg2  1  0.35776472  0.72208036  0.71268807  1
  Hg  Hg3  1  0.85670585  0.22092722  0.21171634  1
"
"Full Formula (Yb1 Eu1 Ga1 Sn1)
Reduced Formula: YbEuGaSn
abc   :   5.371453   5.351078   5.374354
angles:  60.177483  59.780603  60.087235
pbc   :       True       True       True
Sites (4)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  --------------------------------------------------------------------
  0  Yb    0.751056  0.131161   0.752324  [-0.007800024934113026, 0.012712469324469566, 0.003607173915952444]
  1  Ga    0.004359  0.382225  -0.002662  [-0.017375510185956955, -0.003923817537724972, 0.014082268811762333]
  2  Eu    0.250924  0.632262   0.251264  [-0.011559607461094856, -0.0024055149406194687, 0.01335914433002472]
  3  Sn    0.497635  0.882186   0.505546  [0.03673515096306801, -0.006383157335221767, -0.031048588454723358]","YbEuGaSn","('Eu', 'Ga', 'Sn', 'Yb')","0.0","2.0","# generated using pymatgen
data_YbEuGaSn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.37145251
_cell_length_b   5.35107815
_cell_length_c   5.37435422
_cell_angle_alpha   60.17748267
_cell_angle_beta   59.78060257
_cell_angle_gamma   60.08723523
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbEuGaSn
_chemical_formula_sum   'Yb1 Eu1 Ga1 Sn1'
_cell_volume   109.26513553
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Yb  Yb0  1  0.75105620  0.13116107  0.75232362  1
  Ga  Ga1  1  0.00435941  0.38222488  -0.00266206  1
  Eu  Eu2  1  0.25092434  0.63226224  0.25126403  1
  Sn  Sn3  1  0.49763493  0.88218623  0.50554590  1
"
"Full Formula (Lu2 Al1 Fe3)
Reduced Formula: Lu2AlFe3
abc   :   5.133277   5.128148   5.127098
angles:  60.353925  60.310693  60.306641
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Fe    0.490648  0.701758  0.838942  [-0.013930135406553745, 0.010310418903827667, 0.010308340191841125]
  1  Lu    0.363886  0.080156  0.217749  [0.032996661961078644, 0.008557970635592937, 0.019521594047546387]
  2  Fe    0.987148  0.702784  0.342925  [0.0046408334746956825, -0.00015313038602471352, -0.031194936484098434]
  3  Al    0.988554  0.704614  0.840887  [0.0008837571367621422, -0.01660458743572235, 0.004139866679906845]
  4  Lu    0.611123  0.324258  0.461875  [-0.0225216131657362, 0.019460853189229965, 0.0037984922528266907]
  5  Fe    0.986994  0.205721  0.839706  [-0.0020693913102149963, -0.02157152071595192, -0.006573243997991085]","Lu2AlFe3","('Al', 'Fe', 'Lu')","0.005425064524324944","2.0","# generated using pymatgen
data_Lu2AlFe3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.13327712
_cell_length_b   5.12814836
_cell_length_c   5.12709840
_cell_angle_alpha   60.35392468
_cell_angle_beta   60.31069288
_cell_angle_gamma   60.30664137
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Lu2AlFe3
_chemical_formula_sum   'Lu2 Al1 Fe3'
_cell_volume   96.13498139
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.49064821  0.70175777  0.83894165  1
  Lu  Lu1  1  0.36388649  0.08015635  0.21774868  1
  Fe  Fe2  1  0.98714824  0.70278379  0.34292496  1
  Al  Al3  1  0.98855409  0.70461376  0.84088661  1
  Lu  Lu4  1  0.61112279  0.32425804  0.46187513  1
  Fe  Fe5  1  0.98699435  0.20572102  0.83970630  1
"
"Full Formula (Tb2 Si4 Au4)
Reduced Formula: Tb(SiAu)2
abc   :   4.233219   4.230267  11.172312
angles:  82.276614  93.921268  90.617967
pbc   :       True       True       True
Sites (10)
  #  SP            a         b         c  forces
---  ----  ---------  --------  --------  ---------------------------------------------------------------------
  0  Tb     0.564765  0.895322  0.572401  [0.019564252346754074, -0.009047256782650948, 0.0017539197579026222]
  1  Si     0.471188  0.129941  0.01713   [-0.03789865970611572, 0.0231175497174263, -0.022686555981636047]
  2  Si     0.051948  1.42254   0.466087  [0.004137769341468811, 0.0058844853192567825, -0.0001201629638671875]
  3  Tb     0.02069   1.00118   0.252609  [-0.018169786781072617, 0.008379824459552765, 0.0058967359364032745]
  4  Au    -0.016945  0.457763  0.027914  [-0.03259425610303879, 0.014434229582548141, 0.01158866286277771]
  5  Si     0.503777  0.605284  0.135668  [-0.027016984298825264, 0.021912753582000732, -0.005970299243927002]
  6  Au     0.533694  0.472608  0.355247  [-0.0044675832614302635, 0.005973382852971554, -0.002252049744129181]
  7  Au     0.106103  0.82473   0.793504  [0.038308992981910706, -0.02696896716952324, 0.008806869387626648]
  8  Au     0.608631  0.313615  0.803691  [0.03446581959724426, -0.02260504476726055, -0.0007142089307308197]
  9  Si     0.081787  0.365218  0.676674  [0.023670446127653122, -0.021081015467643738, 0.003697142004966736]","Tb(SiAu)2","('Au', 'Si', 'Tb')","0.0","2.0","# generated using pymatgen
data_Tb(SiAu)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.23321864
_cell_length_b   4.23026663
_cell_length_c   11.17231177
_cell_angle_alpha   82.27661369
_cell_angle_beta   93.92126754
_cell_angle_gamma   90.61796727
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tb(SiAu)2
_chemical_formula_sum   'Tb2 Si4 Au4'
_cell_volume   197.79045037
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.56476517  0.89532234  0.57240075  1
  Si  Si1  1  0.47118838  0.12994116  0.01713035  1
  Si  Si2  1  0.05194791  1.42253929  0.46608662  1
  Tb  Tb3  1  0.02069026  1.00118546  0.25260896  1
  Au  Au4  1  -0.01694452  0.45776319  0.02791415  1
  Si  Si5  1  0.50377685  0.60528391  0.13566819  1
  Au  Au6  1  0.53369404  0.47260793  0.35524686  1
  Au  Au7  1  0.10610281  0.82473029  0.79350364  1
  Au  Au8  1  0.60863075  0.31361524  0.80369113  1
  Si  Si9  1  0.08178749  0.36521803  0.67667419  1
"
"Full Formula (Ca1 Mg2 Pb1)
Reduced Formula: CaMg2Pb
abc   :   4.625704   4.972790   6.550695
angles:  89.993064 135.017651  90.003613
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Pb    0.197429  0.578001  0.634604  [0.005619315896183252, 0.010951615869998932, 0.01795411854982376]
  1  Ca    0.197961  0.579605  0.134804  [0.0013760030269622803, -0.00043582142097875476, 0.01766689494252205]
  2  Mg    0.698826  0.079068  0.637708  [0.007780586369335651, 0.0013090417487546802, -0.015613969415426254]
  3  Mg    0.702086  0.080275  0.139293  [-0.014775902032852173, -0.011824819259345531, -0.020007040351629257]","CaMg2Pb","('Ca', 'Mg', 'Pb')","0.04382022107830693","2.0","# generated using pymatgen
data_CaMg2Pb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.62570401
_cell_length_b   4.97278999
_cell_length_c   6.55069480
_cell_angle_alpha   89.99306445
_cell_angle_beta   135.01765099
_cell_angle_gamma   90.00361274
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaMg2Pb
_chemical_formula_sum   'Ca1 Mg2 Pb1'
_cell_volume   106.51640220
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pb  Pb0  1  0.19742924  0.57800055  0.63460353  1
  Ca  Ca1  1  0.19796128  0.57960533  0.13480365  1
  Mg  Mg2  1  0.69882608  0.07906770  0.63770832  1
  Mg  Mg3  1  0.70208609  0.08027517  0.13929252  1
"
