cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_reward,pi_mean,pi_max,oracle_pi_threshold,elapsed_s,ence,picp_50,picp_90
0,16,8,16,0,0,1.5000,170,0.1316,nan,nan,nan,1146.46,nan,nan,nan
1,16,8,8,8,0,1.5000,173,0.2521,0.0000,0.0000,0.0000,606.27,nan,nan,nan
2,16,8,8,8,0,1.5000,177,0.2451,0.0000,0.0000,0.0000,540.02,nan,nan,nan
3,16,8,8,8,0,1.5000,180,0.3003,0.0000,0.0000,0.0000,650.21,nan,nan,nan
4,16,8,8,8,0,1.5000,185,0.2588,0.0000,0.0000,0.0000,472.01,nan,nan,nan
5,16,8,16,0,1,1.5000,191,0.0957,nan,nan,nan,1215.42,0.9409,1.0000,1.0000
6,16,8,8,8,0,1.5000,195,0.2855,0.0000,0.0000,0.0000,638.73,nan,nan,nan
7,16,8,8,8,0,1.5000,199,0.3616,0.0000,0.0000,0.0000,522.19,nan,nan,nan
8,16,8,8,8,0,1.5000,201,0.3745,0.0000,0.0000,0.0000,773.11,nan,nan,nan
9,16,8,8,8,0,1.5000,203,0.3594,0.0000,0.0000,0.0000,484.43,nan,nan,nan
10,16,8,16,0,1,1.5000,206,0.0533,nan,nan,nan,1228.24,0.8742,1.0000,1.0000
11,16,8,8,8,0,1.5000,208,0.3214,0.0000,0.0000,0.0000,469.44,nan,nan,nan
12,16,8,8,8,0,1.5000,212,0.2921,0.0000,0.0000,0.0000,519.95,nan,nan,nan
13,16,8,8,8,0,1.5000,216,0.3754,0.0000,0.0000,0.0000,708.30,nan,nan,nan
14,16,8,8,8,0,1.5000,220,0.3762,0.0000,0.0000,0.0000,886.20,nan,nan,nan
15,16,8,16,0,1,1.5000,229,0.1288,nan,nan,nan,1087.66,0.8790,1.0000,1.0000
16,16,8,8,8,0,1.5000,231,0.3378,0.0000,0.0000,0.0000,370.37,nan,nan,nan
17,16,8,8,8,0,1.5000,235,0.4810,0.0000,0.0006,0.0000,777.64,nan,nan,nan
18,16,8,8,8,0,1.5000,238,0.2614,0.0000,0.0000,0.0000,578.32,nan,nan,nan
19,16,8,8,8,0,1.5000,241,0.3511,0.0000,0.0000,0.0000,447.48,nan,nan,nan
