"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Er2 Tl2 Cd2)
Reduced Formula: ErTlCd
abc   :   4.495159   4.697376   7.739473
angles:  72.332501  89.992586  89.999071
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Er    0.707349  0.550033  0.280524  [0.0008614677935838699, -0.0036119280848652124, 0.014771402813494205]
  1  Cd    0.707482  0.892359  0.596274  [-9.550130926072598e-05, 0.0014598903944715858, -0.003934258595108986]
  2  Tl    0.207521  0.725211  0.930602  [-0.0007638601819053292, 0.0022653890773653984, -0.005935750901699066]
  3  Tl    0.207421  0.060441  0.259525  [-0.00038758793380111456, -0.0029409825801849365, 0.011682257056236267]
  4  Er    0.707298  0.23524   0.910977  [0.0011293529532849789, 0.005523795261979103, -0.024204805493354797]
  5  Cd    0.20751   0.393256  0.594582  [-0.0007438788306899369, -0.0026961704716086388, 0.007621141150593758]","ErTlCd","('Cd', 'Er', 'Tl')","0.0","0","# generated using pymatgen
data_ErTlCd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.49515926
_cell_length_b   4.69737628
_cell_length_c   7.73947262
_cell_angle_alpha   72.33250135
_cell_angle_beta   89.99258598
_cell_angle_gamma   89.99907119
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ErTlCd
_chemical_formula_sum   'Er2 Tl2 Cd2'
_cell_volume   155.71446194
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Er  Er0  1  0.70734888  0.55003296  0.28052374  1
  Cd  Cd1  1  0.70748217  0.89235854  0.59627363  1
  Tl  Tl2  1  0.20752093  0.72521148  0.93060175  1
  Tl  Tl3  1  0.20742067  0.06044112  0.25952520  1
  Er  Er4  1  0.70729809  0.23523989  0.91097731  1
  Cd  Cd5  1  0.20751007  0.39325597  0.59458190  1
"
"Full Formula (Tb1 Er1 Zn1 Co1)
Reduced Formula: TbErZnCo
abc   :   3.405741   3.405079   7.090418
angles:  89.996354  89.996099  90.000477
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Zn    0.070968  0.425982  0.604138  [-0.0017111467896029353, 0.0003806405875366181, 0.005888883024454117]
  1  Er    0.570637  0.925935  0.869578  [0.0018536557909101248, 0.00015376880764961243, 0.023626238107681274]
  2  Tb    0.570859  0.926146  0.328289  [0.00035967607982456684, -0.0011769358534365892, -0.020425185561180115]
  3  Co    0.070834  0.425939  0.094431  [-0.0005021622637286782, 0.0006425476167351007, -0.009089892730116844]","TbErZnCo","('Co', 'Er', 'Tb', 'Zn')","0.0","0","# generated using pymatgen
data_TbErZnCo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.40574073
_cell_length_b   3.40507939
_cell_length_c   7.09041771
_cell_angle_alpha   89.99635357
_cell_angle_beta   89.99609875
_cell_angle_gamma   90.00047652
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbErZnCo
_chemical_formula_sum   'Tb1 Er1 Zn1 Co1'
_cell_volume   82.22628047
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.07096822  0.42598200  0.60413809  1
  Er  Er1  1  0.57063691  0.92593477  0.86957765  1
  Tb  Tb2  1  0.57085859  0.92614608  0.32828899  1
  Co  Co3  1  0.07083447  0.42593923  0.09443056  1
"
"Full Formula (Pr8 Sn1 Hg2)
Reduced Formula: Pr8SnHg2
abc   :   5.171028   8.300588   9.266230
angles: 112.030182 106.201080  90.002008
pbc   :       True       True       True
Sites (11)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Pr    0.085775  0.314946  0.595522  [0.011437482200562954, -0.011813513934612274, 0.037671640515327454]
  1  Pr    0.438923  0.103899  0.301824  [0.004052450880408287, 0.010629381984472275, 0.013272646814584732]
  2  Hg    0.273986  0.19545   0.971962  [-0.0050438167527318, -0.04546939954161644, -0.017601575702428818]
  3  Pr    0.638957  0.086911  0.701765  [-0.004076487850397825, -0.014139529317617416, -0.013566982001066208]
  4  Pr    0.325213  0.622911  0.074474  [0.004362994804978371, 0.01394050195813179, 0.014040287584066391]
  5  Pr    0.155772  0.785578  0.735234  [0.002007482573390007, -0.02667526714503765, 0.007550675421953201]
  6  Pr    0.525381  0.605564  0.47441   [-0.003958806395530701, -0.009708889760077, -0.012175586074590683]
  7  Pr    0.808689  0.924451  0.041282  [-0.0022692736238241196, 0.02483292669057846, -0.007872950285673141]
  8  Hg    0.690389  0.514273  0.804544  [0.004604056477546692, 0.046070683747529984, 0.017040491104125977]
  9  Sn    0.982208  0.854724  0.388187  [-0.00023733964189887047, 0.0016254456713795662, -0.000415068119764328]
 10  Pr    0.878317  0.394898  0.180653  [-0.010878748260438442, 0.010707654058933258, -0.03794357553124428]","Pr8SnHg2","('Hg', 'Pr', 'Sn')","0.0","0","# generated using pymatgen
data_Pr8SnHg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.17102805
_cell_length_b   8.30058771
_cell_length_c   9.26622997
_cell_angle_alpha   112.03018197
_cell_angle_beta   106.20107952
_cell_angle_gamma   90.00200835
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Pr8SnHg2
_chemical_formula_sum   'Pr8 Sn1 Hg2'
_cell_volume   351.59241082
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.08577549  0.31494566  0.59552172  1
  Pr  Pr1  1  0.43892287  0.10389887  0.30182392  1
  Hg  Hg2  1  0.27398552  0.19545029  0.97196188  1
  Pr  Pr3  1  0.63895658  0.08691121  0.70176460  1
  Pr  Pr4  1  0.32521274  0.62291068  0.07447358  1
  Pr  Pr5  1  0.15577206  0.78557808  0.73523352  1
  Pr  Pr6  1  0.52538119  0.60556398  0.47440986  1
  Pr  Pr7  1  0.80868948  0.92445070  0.04128199  1
  Hg  Hg8  1  0.69038937  0.51427317  0.80454449  1
  Sn  Sn9  1  0.98220756  0.85472394  0.38818695  1
  Pr  Pr10  1  0.87831746  0.39489758  0.18065347  1
"
"Full Formula (Ba1 Ca1 Ag1 Hg1)
Reduced Formula: BaCaAgHg
abc   :   3.990789   3.990495   7.875816
angles:  89.999029  90.000255  89.997312
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Ba    0.587951  0.90447   0.264469  [-4.4032465666532516e-05, -0.000646899570710957, -0.0004125703126192093]
  1  Ca    0.588091  0.904227  0.768781  [-0.0008836374618113041, 0.0004594860947690904, 0.027623143047094345]
  2  Ag    0.08791   0.404352  0.974642  [0.0006156475283205509, -0.0001837208983488381, -0.024250764399766922]
  3  Hg    0.08797   0.404265  0.555859  [0.00031203310936689377, 0.0003711477038450539, -0.002959802746772766]","BaCaAgHg","('Ag', 'Ba', 'Ca', 'Hg')","0.0","0","# generated using pymatgen
data_BaCaAgHg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.99078871
_cell_length_b   3.99049468
_cell_length_c   7.87581592
_cell_angle_alpha   89.99902913
_cell_angle_beta   90.00025515
_cell_angle_gamma   89.99731162
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaCaAgHg
_chemical_formula_sum   'Ba1 Ca1 Ag1 Hg1'
_cell_volume   125.42410980
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.58795103  0.90446954  0.26446877  1
  Ca  Ca1  1  0.58809100  0.90422655  0.76878110  1
  Ag  Ag2  1  0.08791007  0.40435222  0.97464215  1
  Hg  Hg3  1  0.08796996  0.40426525  0.55585917  1
"
"Full Formula (Mn8 Sb1)
Reduced Formula: Mn8Sb
abc   :   3.649740   5.744065   5.743110
angles:  84.207338  71.470548  71.474815
pbc   :       True       True       True
Sites (9)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -------------------------------------------------------------------------
  0  Mn    0.139561  0.753959  0.505989  [-0.00516890361905098, -0.0021841619163751602, -1.099705696105957e-05]
  1  Mn    0.820636  0.103531  0.793383  [0.0010157674551010132, 0.020189791917800903, 0.00865134596824646]
  2  Mn    0.470477  0.103421  0.494421  [0.0009002983570098877, 0.025040611624717712, -0.009462177753448486]
  3  Mn    0.819924  0.404291  0.494279  [0.0024605877697467804, -0.020969301462173462, -0.003136157989501953]
  4  Mn    0.139804  0.116039  0.143538  [-0.008218405768275261, 0.0069924890995025635, 0.006523097399622202]
  5  Mn    0.501545  0.391884  0.143857  [-0.0004184972494840622, -0.009948432445526123, -0.00022550439462065697]
  6  Mn    0.501322  0.753903  0.782004  [0.005061715841293335, 3.281875979155302e-05, -0.006614506244659424]
  7  Mn    0.169965  0.404302  0.793501  [0.00728728249669075, -0.01901473104953766, 0.004830121994018555]
  8  Sb    0.820574  0.753958  0.143932  [-0.0029198266565799713, -0.00013902218779549003, -0.0005551588255912066]","Mn8Sb","('Mn', 'Sb')","0.07780016893309684","0","# generated using pymatgen
data_Mn8Sb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.64974009
_cell_length_b   5.74406547
_cell_length_c   5.74310997
_cell_angle_alpha   84.20733828
_cell_angle_beta   71.47054848
_cell_angle_gamma   71.47481478
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn8Sb
_chemical_formula_sum   'Mn8 Sb1'
_cell_volume   108.24377744
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.13956122  0.75395940  0.50598900  1
  Mn  Mn1  1  0.82063551  0.10353072  0.79338305  1
  Mn  Mn2  1  0.47047746  0.10342063  0.49442079  1
  Mn  Mn3  1  0.81992376  0.40429104  0.49427890  1
  Mn  Mn4  1  0.13980423  0.11603850  0.14353791  1
  Mn  Mn5  1  0.50154505  0.39188432  0.14385680  1
  Mn  Mn6  1  0.50132180  0.75390298  0.78200428  1
  Mn  Mn7  1  0.16996493  0.40430185  0.79350063  1
  Sb  Sb8  1  0.82057379  0.75395798  0.14393246  1
"
"Full Formula (Tb1 Nd1 Y1 Ho8 Sc1)
Reduced Formula: TbNdYHo8Sc
abc   :   3.473768  11.109679  11.117294
angles: 119.974601  89.998811  90.000405
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Ho    0.406411  0.812579  0.197554  [-0.0005943039432168007, 0.03356096148490906, 0.0019143559038639069]
  1  Nd    0.406409  0.148173  0.366517  [-0.0003505826462060213, -0.0038197413086891174, -0.0075194090604782104]
  2  Sc    0.40639   0.480716  0.031645  [-0.000237183558056131, 0.001833159476518631, -0.0014842345844954252]
  3  Y     0.406361  0.815257  0.700228  [-0.000216631218791008, -0.005728576332330704, -0.0029176995158195496]
  4  Tb    0.906466  0.634687  0.339535  [-0.0012411625357344747, 0.008965948596596718, 0.010667426511645317]
  5  Ho    0.906333  0.466633  0.525284  [0.00039602722972631454, -0.009584656916558743, 0.006069984287023544]
  6  Ho    0.406643  0.315766  0.701306  [-0.0016983207315206528, -0.019462917000055313, -0.027648592367768288]
  7  Ho    0.906256  0.988639  0.525181  [0.0015912028029561043, 0.011166537180542946, -0.003837043885141611]
  8  Ho    0.906393  0.174049  0.878891  [-0.00027394620701670647, 0.003510555252432823, -0.0002832164755091071]
  9  Ho    0.906298  0.98891   0.047851  [0.00018793251365423203, -0.001903042197227478, -0.00547422282397747]
 10  Ho    0.906185  0.63494   0.878841  [0.002021786756813526, -0.003987264819443226, 0.005572270601987839]
 11  Ho    0.406272  0.314899  0.197742  [0.00041520289960317314, -0.014550963416695595, 0.024940378963947296]","TbNdYHo8Sc","('Ho', 'Nd', 'Sc', 'Tb', 'Y')","0.0","0","# generated using pymatgen
data_TbNdYHo8Sc
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.47376846
_cell_length_b   11.10967888
_cell_length_c   11.11729440
_cell_angle_alpha   119.97460138
_cell_angle_beta   89.99881053
_cell_angle_gamma   90.00040503
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbNdYHo8Sc
_chemical_formula_sum   'Tb1 Nd1 Y1 Ho8 Sc1'
_cell_volume   371.65775995
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.40641134  0.81257892  0.19755419  1
  Nd  Nd1  1  0.40640855  0.14817329  0.36651710  1
  Sc  Sc2  1  0.40638993  0.48071573  0.03164489  1
  Y  Y3  1  0.40636084  0.81525697  0.70022776  1
  Tb  Tb4  1  0.90646642  0.63468713  0.33953488  1
  Ho  Ho5  1  0.90633266  0.46663273  0.52528429  1
  Ho  Ho6  1  0.40664252  0.31576629  0.70130649  1
  Ho  Ho7  1  0.90625578  0.98863856  0.52518079  1
  Ho  Ho8  1  0.90639325  0.17404901  0.87889103  1
  Ho  Ho9  1  0.90629849  0.98891036  0.04785102  1
  Ho  Ho10  1  0.90618454  0.63494048  0.87884091  1
  Ho  Ho11  1  0.40627192  0.31489910  0.19774222  1
"
"Full Formula (Cs1 Ba1 Sr4)
Reduced Formula: CsBaSr4
abc   :   4.459652   4.458854  19.026077
angles:  89.993507  89.976073  90.071205
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Sr    0.313966  0.613897  0.476646  [-0.00030064815655350685, -0.0006859588902443647, -0.03029891848564148]
  1  Sr    0.814076  0.114158  0.625224  [-0.00017597107216715813, -0.0006905433838255703, -0.024596378207206726]
  2  Cs    0.813957  0.113531  0.284222  [0.0003742929548025131, 0.0006050337105989456, 0.007174068130552769]
  3  Ba    0.31464   0.613995  0.784146  [-0.0005059817340224981, -0.00010801246389746666, 0.0011117414105683565]
  4  Sr    0.814368  0.113658  0.943197  [-9.356532245874405e-06, -0.00013726178440265357, 0.026342473924160004]
  5  Sr    0.314082  0.613382  0.092014  [0.0006176736205816269, 0.00101674092002213, 0.020266994833946228]","CsBaSr4","('Ba', 'Cs', 'Sr')","0.0","0","# generated using pymatgen
data_CsBaSr4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.45965159
_cell_length_b   4.45885375
_cell_length_c   19.02607723
_cell_angle_alpha   89.99350664
_cell_angle_beta   89.97607336
_cell_angle_gamma   90.07120491
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsBaSr4
_chemical_formula_sum   'Cs1 Ba1 Sr4'
_cell_volume   378.33196695
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.31396649  0.61389664  0.47664570  1
  Sr  Sr1  1  0.81407557  0.11415795  0.62522379  1
  Cs  Cs2  1  0.81395691  0.11353059  0.28422230  1
  Ba  Ba3  1  0.31463965  0.61399500  0.78414603  1
  Sr  Sr4  1  0.81436786  0.11365781  0.94319670  1
  Sr  Sr5  1  0.31408172  0.61338194  0.09201365  1
"
"Full Formula (Nd2 Sm1 Y3 Ho2 Tl4)
Reduced Formula: Nd2SmY3(HoTl2)2
abc   :   5.123707   7.023566  10.187919
angles:  90.229124  90.001587  90.001091
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Nd    0.438558  0.258768  0.638888  [0.00013991445302963257, -0.03149732947349548, -0.016408730298280716]
  1  Y     0.938574  0.130134  0.133509  [5.006746869185008e-05, 0.04220928996801376, -0.0007313452661037445]
  2  Nd    0.438593  0.760178  0.005665  [2.8600694349734113e-05, -0.030618127435445786, 0.017206383869051933]
  3  Tl    0.938651  0.663518  0.188847  [-0.0005414762417785823, -0.01864292100071907, -0.0018301093950867653]
  4  Tl    0.938587  0.158352  0.457151  [5.027315637562424e-05, -0.024277012795209885, -0.005357461050152779]
  5  Y     0.438597  0.896286  0.358325  [1.1032891052309424e-05, 0.014136992394924164, 0.00943530909717083]
  6  Y     0.938577  0.627994  0.511108  [0.00024340974050574005, 0.036597833037376404, 0.0008471058681607246]
  7  Tl    0.438535  0.228558  0.957667  [0.0003426414041314274, 0.014799917116761208, 0.0220057163387537]
  8  Sm    0.438643  0.39657   0.287161  [-0.0003450148506090045, 0.010145746171474457, -0.0011551659554243088]
  9  Ho    0.938516  0.488509  0.861     [0.00043043785262852907, -0.010551225394010544, -0.009553278796374798]
 10  Tl    0.438607  0.72765   0.685291  [-0.00042517855763435364, 0.015323419123888016, -0.01923804171383381]
 11  Ho    0.93858   0.988722  0.784875  [1.529604196548462e-05, -0.017626576125621796, 0.004779634531587362]","Nd2SmY3(HoTl2)2","('Ho', 'Nd', 'Sm', 'Tl', 'Y')","0.0","0","# generated using pymatgen
data_Nd2SmY3(HoTl2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.12370716
_cell_length_b   7.02356566
_cell_length_c   10.18791921
_cell_angle_alpha   90.22912418
_cell_angle_beta   90.00158693
_cell_angle_gamma   90.00109105
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd2SmY3(HoTl2)2
_chemical_formula_sum   'Nd2 Sm1 Y3 Ho2 Tl4'
_cell_volume   366.62659546
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.43855849  0.25876795  0.63888842  1
  Y  Y1  1  0.93857398  0.13013415  0.13350938  1
  Nd  Nd2  1  0.43859304  0.76017807  0.00566522  1
  Tl  Tl3  1  0.93865138  0.66351761  0.18884674  1
  Tl  Tl4  1  0.93858666  0.15835231  0.45715085  1
  Y  Y5  1  0.43859709  0.89628596  0.35832540  1
  Y  Y6  1  0.93857650  0.62799420  0.51110781  1
  Tl  Tl7  1  0.43853506  0.22855827  0.95766742  1
  Sm  Sm8  1  0.43864339  0.39657044  0.28716133  1
  Ho  Ho9  1  0.93851632  0.48850942  0.86100049  1
  Tl  Tl10  1  0.43860734  0.72765011  0.68529092  1
  Ho  Ho11  1  0.93858022  0.98872181  0.78487469  1
"
"Full Formula (Dy4 Ho9 Pb3)
Reduced Formula: Dy4(Ho3Pb)3
abc   :   6.096957   6.841751  11.609428
angles:  89.971707 100.254476  90.038612
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Dy    0.694416  0.549775  0.862402  [-0.001025924924761057, 0.01723400689661503, -0.002596751321107149]
  1  Ho    0.999639  0.79303   0.362435  [0.015625525265932083, -0.0013105113757774234, -0.0012320466339588165]
  2  Ho    0.285448  0.045945  0.605569  [-0.018655091524124146, -8.166767656803131e-05, -0.016102075576782227]
  3  Ho    0.196785  0.292762  0.8608    [-0.005685549229383469, -0.0017157316906377673, -0.015096798539161682]
  4  Dy    0.695532  0.037371  0.863134  [0.0013649959582835436, -0.018570950254797935, -0.0005362917436286807]
  5  Ho    0.500582  0.5418    0.362021  [0.018440382555127144, 0.0009311400353908539, -0.00818059965968132]
  6  Ho    0.612922  0.292109  0.115965  [-0.000818498432636261, 0.00021580327302217484, 0.017102457582950592]
  7  Dy    0.111044  0.543202  0.118719  [0.003310750238597393, -0.002514634281396866, 0.021219223737716675]
  8  Pb    0.773704  0.792953  0.609181  [0.004421696066856384, 0.0019587953574955463, -8.433125913143158e-07]
  9  Ho    0.197314  0.794192  0.860377  [-0.002446384634822607, 0.0028431895188987255, 0.0009336136281490326]
 10  Pb    0.010327  0.292748  0.361502  [-0.002766908146440983, 0.001513717696070671, 0.004700575023889542]
 11  Ho    0.11425   0.043669  0.119317  [0.0019122986122965813, 0.002577471546828747, 0.024412386119365692]
 12  Ho    0.791193  0.293275  0.608741  [-0.014990951865911484, -0.00018283887766301632, -0.009054075926542282]
 13  Pb    0.608733  0.792566  0.114868  [0.004482331220060587, 0.0012998769525438547, 0.008684616535902023]
 14  Dy    0.501653  0.043868  0.362365  [0.016872292384505272, -0.0016079926863312721, -0.008787266910076141]
 15  Ho    0.285901  0.541196  0.605013  [-0.0200409647077322, -0.002589660696685314, -0.015466131269931793]","Dy4(Ho3Pb)3","('Dy', 'Ho', 'Pb')","0.0","1","# generated using pymatgen
data_Dy4(Ho3Pb)3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.09695654
_cell_length_b   6.84175117
_cell_length_c   11.60942795
_cell_angle_alpha   89.97170705
_cell_angle_beta   100.25447611
_cell_angle_gamma   90.03861231
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Dy4(Ho3Pb)3
_chemical_formula_sum   'Dy4 Ho9 Pb3'
_cell_volume   476.53849523
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.69441619  0.54977487  0.86240204  1
  Ho  Ho1  1  0.99963856  0.79302979  0.36243474  1
  Ho  Ho2  1  0.28544819  0.04594470  0.60556881  1
  Ho  Ho3  1  0.19678459  0.29276168  0.86079973  1
  Dy  Dy4  1  0.69553224  0.03737086  0.86313420  1
  Ho  Ho5  1  0.50058232  0.54179961  0.36202124  1
  Ho  Ho6  1  0.61292223  0.29210858  0.11596509  1
  Dy  Dy7  1  0.11104394  0.54320190  0.11871926  1
  Pb  Pb8  1  0.77370446  0.79295271  0.60918088  1
  Ho  Ho9  1  0.19731405  0.79419244  0.86037668  1
  Pb  Pb10  1  0.01032670  0.29274845  0.36150190  1
  Ho  Ho11  1  0.11424990  0.04366926  0.11931668  1
  Ho  Ho12  1  0.79119256  0.29327460  0.60874139  1
  Pb  Pb13  1  0.60873256  0.79256551  0.11486819  1
  Dy  Dy14  1  0.50165282  0.04386794  0.36236467  1
  Ho  Ho15  1  0.28590109  0.54119561  0.60501347  1
"
"Full Formula (Ca1 Zn1 Pt2)
Reduced Formula: CaZnPt2
abc   :   4.455111   4.454805   5.522179
angles:  66.220495  66.210980  60.006754
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Ca    0.681929  0.24387   0.68076   [0.004943236708641052, 0.003929016180336475, -0.011258267797529697]
  1  Zn    0.182028  0.744178  0.180335  [-0.003164552617818117, -0.0010569872101768851, -0.0011261652689427137]
  2  Pt    0.482668  0.044972  0.277857  [-0.007692817598581314, -0.007628152146935463, 0.033635444939136505]
  3  Pt    0.881356  0.44348   0.082401  [0.005914129316806793, 0.004756104201078415, -0.021251048892736435]","CaZnPt2","('Ca', 'Pt', 'Zn')","0.0","1","# generated using pymatgen
data_CaZnPt2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.45511114
_cell_length_b   4.45480532
_cell_length_c   5.52217903
_cell_angle_alpha   66.22049491
_cell_angle_beta   66.21097981
_cell_angle_gamma   60.00675398
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaZnPt2
_chemical_formula_sum   'Ca1 Zn1 Pt2'
_cell_volume   83.99881610
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.68192903  0.24386968  0.68076008  1
  Zn  Zn1  1  0.18202788  0.74417759  0.18033451  1
  Pt  Pt2  1  0.48266829  0.04497202  0.27785655  1
  Pt  Pt3  1  0.88135633  0.44348006  0.08240054  1
"
