cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,16,8,16,0,0,1.5000,453,0.2116,0.0000,0.0880,0.0569,1611.15
1,16,8,8,8,0,1.5000,459,0.2896,0.0000,0.0861,0.0559,355.21
2,16,8,8,8,0,1.5000,463,0.2376,0.0000,0.0843,0.0556,784.97
3,16,8,8,8,0,1.5000,468,0.2249,0.0000,0.0895,0.0592,546.89
4,16,8,8,8,0,1.5000,473,0.2522,0.0001,0.0866,0.0558,704.72
5,16,8,16,0,1,1.5000,483,0.2174,0.0001,0.0786,0.0529,1166.88
6,16,8,8,8,0,1.5000,488,0.2392,0.0001,0.0816,0.0526,594.67
7,16,8,8,8,0,1.5000,494,0.2229,0.0001,0.0810,0.0522,412.24
8,16,8,8,8,0,1.5000,500,0.2150,0.0001,0.0784,0.0517,547.47
9,16,8,8,8,0,1.5000,505,0.4767,0.0001,0.0907,0.0574,489.22
10,16,8,16,0,1,1.5000,517,0.3143,0.0001,0.0897,0.0558,1157.64
11,16,8,8,8,0,1.5000,522,0.3235,0.0001,0.0947,0.0578,1120.27
12,16,8,8,8,0,1.5000,525,0.2433,0.0001,0.0859,0.0532,364.41
13,16,8,8,8,0,1.5000,529,0.2219,0.0001,0.0937,0.0560,748.53
14,16,8,8,8,0,1.5000,533,0.2776,0.0001,0.0928,0.0564,656.98
15,16,8,16,0,1,1.5000,547,0.2817,0.0001,0.0903,0.0547,1054.79
16,16,8,8,8,0,1.5000,553,0.4024,0.0001,0.0959,0.0587,765.87
17,16,8,8,8,0,1.5000,558,0.3222,0.0001,0.0973,0.0578,555.22
18,16,8,8,8,0,1.5000,563,0.2972,0.0001,0.0969,0.0598,674.98
19,16,8,8,8,0,1.5000,566,0.2937,0.0001,0.0937,0.0555,736.58
