cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,12,4,12,0,0,1.5000,450,0.3035,0.0000,0.0842,0.0553,2414.09
1,11,4,4,7,0,1.5000,452,0.2125,0.0000,0.0846,0.0544,370.45
2,7,4,4,3,0,1.5000,454,0.4286,0.0000,0.0863,0.0557,610.51
3,7,4,4,3,0,1.5000,456,0.3315,0.0000,0.0874,0.0570,554.39
4,8,4,4,4,0,1.5000,459,0.1837,0.0000,0.0870,0.0572,277.23
5,4,2,2,2,0,1.5000,460,0.1667,0.0000,0.0880,0.0574,197.60
6,12,4,4,8,0,1.5000,462,0.2717,0.0001,0.0873,0.0562,413.93
7,8,4,4,4,0,1.5000,462,nan,0.0001,0.0873,0.0562,295.62
8,8,4,4,4,0,1.5000,463,0.2568,0.0001,0.0868,0.0565,320.81
9,10,4,4,6,0,1.5000,464,0.2400,0.0001,0.0845,0.0547,392.87
10,3,2,2,1,0,1.5000,465,0.5375,0.0001,0.0857,0.0551,391.83
11,11,4,4,7,0,1.5000,466,0.2243,0.0001,0.0844,0.0541,243.86
12,14,4,4,10,0,1.5000,468,0.2275,0.0001,0.0848,0.0552,252.71
13,11,4,4,7,0,1.5000,469,0.8107,0.0001,0.0865,0.0553,238.38
14,12,4,4,8,0,1.5000,471,0.2014,0.0001,0.0850,0.0553,187.61
15,6,3,3,3,0,1.5000,473,0.7739,0.0001,0.0878,0.0566,440.89
16,10,4,4,6,0,1.5000,474,1.0153,0.0001,0.0900,0.0577,294.28
17,11,4,4,7,0,1.5000,476,0.2444,0.0001,0.0839,0.0546,450.89
18,10,4,4,6,0,1.5000,479,0.4393,0.0002,0.0903,0.0582,335.78
19,11,4,4,7,0,1.5000,481,0.2743,0.0002,0.0854,0.0554,471.91
