"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Li1 Pd1 Pt6)
Reduced Formula: LiPdPt6
abc   :   5.559052   5.559305   5.560358
angles:  60.004995  60.005196  60.001131
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Li    0.713487  0.850782  0.250519  [0.015101048164069653, 0.02123047411441803, 0.02727522701025009]
  1  Pd    0.214504  0.353524  0.750604  [-0.004028032999485731, -0.005549845285713673, 0.00034326501190662384]
  2  Pt    0.714414  0.352963  0.751266  [0.0027794225607067347, -0.008923377841711044, -0.01495473925024271]
  3  Pt    0.21456   0.353083  0.250719  [-0.010646531358361244, -0.007227426860481501, 0.010364433750510216]
  4  Pt    0.713907  0.852852  0.751382  [0.014669302850961685, 0.008253302425146103, -0.007069487124681473]
  5  Pt    0.214252  0.853217  0.75145   [-0.006932931952178478, 0.004461120348423719, -0.0198504701256752]
  6  Pt    0.714558  0.352506  0.250898  [-0.009275882504880428, 0.0001481468789279461, 0.004877117462456226]
  7  Pt    0.213798  0.853458  0.251067  [-0.0016663921996951103, -0.012392401695251465, -0.000985408783890307]","LiPdPt6","('Li', 'Pd', 'Pt')","0.0","0.0","# generated using pymatgen
data_LiPdPt6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.55905207
_cell_length_b   5.55930473
_cell_length_c   5.56035835
_cell_angle_alpha   60.00499494
_cell_angle_beta   60.00519645
_cell_angle_gamma   60.00113132
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiPdPt6
_chemical_formula_sum   'Li1 Pd1 Pt6'
_cell_volume   121.51955358
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.71348695  0.85078214  0.25051871  1
  Pd  Pd1  1  0.21450410  0.35352449  0.75060423  1
  Pt  Pt2  1  0.71441374  0.35296276  0.75126647  1
  Pt  Pt3  1  0.21456004  0.35308287  0.25071866  1
  Pt  Pt4  1  0.71390673  0.85285217  0.75138208  1
  Pt  Pt5  1  0.21425211  0.85321656  0.75145050  1
  Pt  Pt6  1  0.71455755  0.35250634  0.25089827  1
  Pt  Pt7  1  0.21379841  0.85345846  0.25106724  1
"
"Full Formula (Y10 Ir6)
Reduced Formula: Y5Ir3
abc   :   8.145090   7.421515   7.237941
angles: 109.805065  73.662177  89.995076
pbc   :       True       True       True
Sites (16)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ---------------------------------------------------------------------
  0  Y     0.557345  0.855455   0.557793  [0.0004569925367832184, -0.006170421838760376, 0.0031786933541297913]
  1  Y     0.507107  0.409277   0.758685  [0.005589313805103302, 0.017108630388975143, -0.03909137845039368]
  2  Y     0.007838  0.417028   0.754342  [-0.0006752535700798035, -0.03664902597665787, 0.034408774226903915]
  3  Y     0.057958  0.850371   0.555279  [-0.008219068869948387, 0.0339365229010582, 0.008543800562620163]
  4  Y     0.207575  0.824967   0.963562  [-0.006214769557118416, -0.007376909255981445, 0.007451782003045082]
  5  Y     0.70369   0.827184  -0.035217  [0.007723817601799965, -0.023029282689094543, 0.005484962835907936]
  6  Y     0.354626  0.129086   0.363827  [0.012142306193709373, -0.005152234807610512, -0.029404714703559875]
  7  Y     0.857113  0.128138   0.361167  [0.0008599180728197098, 0.0012848302721977234, -0.015588432550430298]
  8  Y     0.150776  0.41918    0.1768    [0.0032079899683594704, 0.014560207724571228, 0.003555081784725189]
  9  Y     0.654128  0.419852   0.177388  [-0.007910404354333878, 0.006079182028770447, 0.0016458071768283844]
 10  Ir    0.320848  0.535434   0.512528  [-0.011853812262415886, 0.005844078958034515, 0.006259366869926453]
 11  Ir    0.901005  0.715739   0.18309   [-0.0029137302190065384, -0.012180713936686516, 0.02038392424583435]
 12  Ir    0.757818  0.131682   0.769671  [-0.02311711385846138, 0.0020206868648529053, 0.010469312779605389]
 13  Ir    0.250296  0.131144   0.771746  [0.020834438502788544, 0.003191053867340088, -0.006923101842403412]
 14  Ir    0.40034   0.711372   0.185371  [-0.0006438139826059341, 0.013683866709470749, -0.004884466528892517]
 15  Ir    0.815811  0.537715   0.51481   [0.01073323655873537, -0.007150653749704361, -0.005489341914653778]","Y5Ir3","('Ir', 'Y')","0.0","0.0","# generated using pymatgen
data_Y5Ir3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.14508966
_cell_length_b   7.42151545
_cell_length_c   7.23794092
_cell_angle_alpha   109.80506481
_cell_angle_beta   73.66217715
_cell_angle_gamma   89.99507627
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Y5Ir3
_chemical_formula_sum   'Y10 Ir6'
_cell_volume   392.81275555
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.55734512  0.85545543  0.55779312  1
  Y  Y1  1  0.50710684  0.40927703  0.75868500  1
  Y  Y2  1  0.00783849  0.41702846  0.75434164  1
  Y  Y3  1  0.05795768  0.85037072  0.55527910  1
  Y  Y4  1  0.20757483  0.82496713  0.96356174  1
  Y  Y5  1  0.70369047  0.82718382  -0.03521727  1
  Y  Y6  1  0.35462619  0.12908573  0.36382676  1
  Y  Y7  1  0.85711282  0.12813813  0.36116703  1
  Y  Y8  1  0.15077592  0.41918043  0.17680042  1
  Y  Y9  1  0.65412841  0.41985168  0.17738817  1
  Ir  Ir10  1  0.32084817  0.53543430  0.51252789  1
  Ir  Ir11  1  0.90100477  0.71573859  0.18309048  1
  Ir  Ir12  1  0.75781766  0.13168232  0.76967124  1
  Ir  Ir13  1  0.25029592  0.13114389  0.77174633  1
  Ir  Ir14  1  0.40033990  0.71137160  0.18537107  1
  Ir  Ir15  1  0.81581105  0.53771523  0.51481040  1
"
"Full Formula (Gd6 Sc2)
Reduced Formula: Gd3Sc
abc   :   5.750840   7.065879   7.060336
angles: 120.034286  90.300582  89.977090
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Gd    0.755921  0.070528  0.36843   [-0.004541834816336632, -0.023531761020421982, 0.03994034230709076]
  1  Gd    0.755081  0.573405  0.376096  [0.0011970531195402145, 0.0042963288724422455, -0.01815023273229599]
  2  Gd    0.752788  0.057214  0.857105  [0.0044680326245725155, 0.02341281995177269, 0.0106943529099226]
  3  Gd    0.254511  0.398296  0.035569  [0.00013631826732307673, 0.011222528293728828, -0.01891440525650978]
  4  Gd    0.254038  0.89315   0.032543  [0.003980230540037155, 0.0012814197689294815, -8.289190009236336e-05]
  5  Gd    0.257464  0.409427  0.545712  [-0.00783095508813858, -0.01856095902621746, 0.011472517624497414]
  6  Sc    0.252312  0.903587  0.53018   [0.005975526757538319, -0.009898131713271141, 0.016827480867505074]
  7  Sc    0.756959  0.563649  0.880666  [-0.003384374314919114, 0.011777747422456741, -0.041787147521972656]","Gd3Sc","('Gd', 'Sc')","0.0","1.0","# generated using pymatgen
data_Gd3Sc
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.75084025
_cell_length_b   7.06587866
_cell_length_c   7.06033604
_cell_angle_alpha   120.03428602
_cell_angle_beta   90.30058226
_cell_angle_gamma   89.97708956
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Gd3Sc
_chemical_formula_sum   'Gd6 Sc2'
_cell_volume   248.36816176
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.75592117  0.07052785  0.36843005  1
  Gd  Gd1  1  0.75508115  0.57340536  0.37609560  1
  Gd  Gd2  1  0.75278782  0.05721361  0.85710459  1
  Gd  Gd3  1  0.25451105  0.39829579  0.03556907  1
  Gd  Gd4  1  0.25403798  0.89314987  0.03254293  1
  Gd  Gd5  1  0.25746382  0.40942723  0.54571155  1
  Sc  Sc6  1  0.25231163  0.90358696  0.53017994  1
  Sc  Sc7  1  0.75695946  0.56364904  0.88066648  1
"
"Full Formula (Mn2 Ga2 Pt4)
Reduced Formula: MnGaPt2
abc   :   3.921769   5.604773   6.081948
angles: 114.287731  89.949420  89.987714
pbc   :       True       True       True
Sites (8)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ----------------------------------------------------------------------
  0  Mn    0.264464  0.164232   0.855987  [-0.00625567976385355, -0.003018799237906933, -0.012004402466118336]
  1  Mn    0.2657    0.464476   0.387223  [-0.016710476949810982, 0.0015341918915510178, 0.010521017014980316]
  2  Ga    0.766118  0.548764   0.101257  [-0.027124712243676186, 0.02135205641388893, 0.03030802309513092]
  3  Ga    0.261631  0.969423   0.371631  [0.03687409311532974, -0.014999663457274437, -8.255243301391602e-05]
  4  Pt    0.764201  0.812777   0.59605   [-3.592943539842963e-05, -0.009294185787439346, -0.013508815318346024]
  5  Pt    0.76608   0.3215     0.617935  [-0.0172291062772274, -0.015862897038459778, -0.01279165968298912]
  6  Pt    0.265386  0.685218  -0.098233  [-0.0067917159758508205, 0.004596504382789135, -0.0068986061960458755]
  7  Pt    0.761776  1.08765    0.115142  [0.03727354109287262, 0.01569286361336708, 0.0044570192694664]","MnGaPt2","('Ga', 'Mn', 'Pt')","0.0","2.0","# generated using pymatgen
data_MnGaPt2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.92176859
_cell_length_b   5.60477253
_cell_length_c   6.08194834
_cell_angle_alpha   114.28773148
_cell_angle_beta   89.94942001
_cell_angle_gamma   89.98771404
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MnGaPt2
_chemical_formula_sum   'Mn2 Ga2 Pt4'
_cell_volume   121.85265264
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.26446404  0.16423176  0.85598739  1
  Mn  Mn1  1  0.26570030  0.46447564  0.38722341  1
  Ga  Ga2  1  0.76611818  0.54876355  0.10125672  1
  Ga  Ga3  1  0.26163068  0.96942278  0.37163114  1
  Pt  Pt4  1  0.76420057  0.81277697  0.59605025  1
  Pt  Pt5  1  0.76608015  0.32149962  0.61793463  1
  Pt  Pt6  1  0.26538624  0.68521817  -0.09823314  1
  Pt  Pt7  1  0.76177645  1.08764584  0.11514165  1
"
"Full Formula (Ce2 Sm2 Ga1 Si3)
Reduced Formula: Ce2Sm2GaSi3
abc   :   3.939891   4.411605  10.981680
angles:  89.968251  89.887537  90.000033
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Ce    0.71016   0.769671  0.245829  [0.01629405841231346, 0.0033943094313144684, -0.025457844138145447]
  1  Ce    0.21246   0.769157  0.960334  [0.003019267227500677, 0.01064595952630043, 0.005099281668663025]
  2  Sm    0.221167  0.275155  0.464408  [-0.008640320971608162, -0.007925758138298988, 0.015317622572183609]
  3  Sm    0.719618  0.274027  0.742765  [-0.0021734063047915697, -0.001043869648128748, -0.008477423340082169]
  4  Ga    0.210576  0.269452  0.171255  [0.0010703530861064792, 0.00020008091814815998, 0.024806320667266846]
  5  Si    0.711492  0.268895  1.0258    [0.004989792127162218, 0.005953572690486908, -0.01742168515920639]
  6  Si    0.220672  0.774388  0.67396   [-0.006872893311083317, 0.0002452500630170107, 0.01818491518497467]
  7  Si    0.721425  0.775438  0.532397  [-0.007686863653361797, -0.011469552293419838, -0.01205126941204071]","Ce2Sm2GaSi3","('Ce', 'Ga', 'Si', 'Sm')","0.004843626497265837","2.0","# generated using pymatgen
data_Ce2Sm2GaSi3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.93989067
_cell_length_b   4.41160470
_cell_length_c   10.98167989
_cell_angle_alpha   89.96825147
_cell_angle_beta   89.88753669
_cell_angle_gamma   90.00003319
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce2Sm2GaSi3
_chemical_formula_sum   'Ce2 Sm2 Ga1 Si3'
_cell_volume   190.87481904
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.71015976  0.76967137  0.24582934  1
  Ce  Ce1  1  0.21245956  0.76915652  0.96033358  1
  Sm  Sm2  1  0.22116713  0.27515530  0.46440794  1
  Sm  Sm3  1  0.71961821  0.27402739  0.74276464  1
  Ga  Ga4  1  0.21057611  0.26945207  0.17125491  1
  Si  Si5  1  0.71149196  0.26889484  1.02580232  1
  Si  Si6  1  0.22067240  0.77438778  0.67396037  1
  Si  Si7  1  0.72142536  0.77543768  0.53239714  1
"
"Full Formula (Ce1 Sm1 Ni4)
Reduced Formula: CeSmNi4
abc   :   5.109231   5.099409   5.099369
angles:  60.007067  59.971274  59.976122
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Ce    0.564855  0.221016  0.40729   [0.043564170598983765, -0.0022955399472266436, -0.018522679805755615]
  1  Sm    0.8169    0.470963  0.65573   [0.010875849984586239, -0.007875392213463783, -0.012317530810832977]
  2  Ni    0.193792  0.344932  0.029239  [-0.0038834004662930965, -0.0011096559464931488, 0.01309138908982277]
  3  Ni    0.194508  0.845862  0.029328  [-0.016727931797504425, -0.002779622096568346, -0.006731986999511719]
  4  Ni    0.194272  0.845504  0.527478  [-0.004602544941008091, 0.008479113690555096, 0.020008277148008347]
  5  Ni    0.695103  0.845521  0.028842  [-0.029226135462522507, 0.005581107921898365, 0.004472542554140091]","CeSmNi4","('Ce', 'Ni', 'Sm')","0.015016310666547739","3.0","# generated using pymatgen
data_CeSmNi4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.10923112
_cell_length_b   5.09940944
_cell_length_c   5.09936886
_cell_angle_alpha   60.00706666
_cell_angle_beta   59.97127371
_cell_angle_gamma   59.97612172
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CeSmNi4
_chemical_formula_sum   'Ce1 Sm1 Ni4'
_cell_volume   93.91333399
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.56485483  0.22101571  0.40728958  1
  Sm  Sm1  1  0.81689969  0.47096318  0.65573025  1
  Ni  Ni2  1  0.19379199  0.34493217  0.02923871  1
  Ni  Ni3  1  0.19450829  0.84586184  0.02932807  1
  Ni  Ni4  1  0.19427151  0.84550409  0.52747811  1
  Ni  Ni5  1  0.69510281  0.84552121  0.02884244  1
"
"Full Formula (Cs3)
Reduced Formula: Cs
abc   :   5.546795   5.764833  14.133336
angles:  86.718492  90.209899 116.508474
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------
  0  Cs    0.112706  0.375345  0.863904  [-0.0, -0.0, -0.0]
  1  Cs    0.711231  0.632429  0.476509  [-0.0, -0.0, -0.0]
  2  Cs    0.384138  0.062599  0.196007  [-0.0, -0.0, -0.0]","Cs","('Cs',)","0.0","3.0","# generated using pymatgen
data_Cs
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.54679541
_cell_length_b   5.76483322
_cell_length_c   14.13333627
_cell_angle_alpha   86.71849150
_cell_angle_beta   90.20989873
_cell_angle_gamma   116.50847416
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs
_chemical_formula_sum   Cs3
_cell_volume   403.63583360
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.11270567  0.37534540  0.86390405  1
  Cs  Cs1  1  0.71123087  0.63242882  0.47650859  1
  Cs  Cs2  1  0.38413781  0.06259901  0.19600664  1
"
"Full Formula (Sm6 Fe4 Si6)
Reduced Formula: Sm3Fe2Si3
abc   :   4.130232   5.777824  13.864167
angles:  89.948018  90.002623 110.946846
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Sm    0.842752  0.150973  0.962323  [-0.004424508661031723, 0.047841642051935196, 0.0014715067809447646]
  1  Sm    0.110457  0.687123  0.462047  [-0.000285833899397403, -0.019083745777606964, 0.009274907410144806]
  2  Sm    0.556599  0.579598  0.100862  [6.88871368765831e-05, 0.012609437108039856, -0.012157663702964783]
  3  Sm    0.39668   0.260348  0.324334  [0.008105898275971413, -0.00955258309841156, -0.011500149965286255]
  4  Sm    0.397811  0.261485  0.600669  [0.0008456064388155937, -0.022643238306045532, -0.00047306716442108154]
  5  Sm    0.556464  0.578384  0.823563  [-0.0030018463730812073, 0.014366433024406433, 0.012896671891212463]
  6  Fe    0.695533  0.856669  0.63271   [-0.0014246957143768668, -0.009126275777816772, 0.008557409048080444]
  7  Fe    0.258756  0.983049  0.791292  [-0.0007168068550527096, 0.007362157106399536, 0.011776521801948547]
  8  Fe    0.258707  0.985078  0.132878  [0.024054404348134995, -0.012335076928138733, 0.005727306008338928]
  9  Fe    0.695154  0.857176  0.291855  [0.004061490297317505, -0.017165929079055786, -0.008303001523017883]
 10  Si    0.15367   0.773315  0.961802  [0.002511180005967617, 0.03879113495349884, 0.007539605256170034]
 11  Si    0.799151  0.064406  0.463102  [-0.002794850617647171, -0.01852564513683319, -0.022031378000974655]
 12  Si    0.846163  0.158559  0.171907  [-0.022242102771997452, -0.00033824145793914795, 0.005605395883321762]
 13  Si    0.108428  0.683431  0.252737  [-0.004419816192239523, -0.005059242248535156, -0.008197213523089886]
 14  Si    0.108878  0.683385  0.671418  [0.0003592194989323616, -0.017418012022972107, 0.0056247347965836525]
 15  Si    0.845492  0.156529  0.752784  [-0.0006962288171052933, 0.010277226567268372, -0.005811551120132208]","Sm3Fe2Si3","('Fe', 'Si', 'Sm')","0.020042805184137227","4.0","# generated using pymatgen
data_Sm3Fe2Si3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.13023221
_cell_length_b   5.77782445
_cell_length_c   13.86416650
_cell_angle_alpha   89.94801755
_cell_angle_beta   90.00262265
_cell_angle_gamma   110.94684606
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm3Fe2Si3
_chemical_formula_sum   'Sm6 Fe4 Si6'
_cell_volume   308.98582869
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.84275178  0.15097272  0.96232302  1
  Sm  Sm1  1  0.11045745  0.68712268  0.46204657  1
  Sm  Sm2  1  0.55659855  0.57959773  0.10086196  1
  Sm  Sm3  1  0.39667970  0.26034778  0.32433394  1
  Sm  Sm4  1  0.39781058  0.26148532  0.60066892  1
  Sm  Sm5  1  0.55646380  0.57838431  0.82356281  1
  Fe  Fe6  1  0.69553316  0.85666865  0.63270966  1
  Fe  Fe7  1  0.25875647  0.98304890  0.79129184  1
  Fe  Fe8  1  0.25870734  0.98507789  0.13287832  1
  Fe  Fe9  1  0.69515377  0.85717589  0.29185473  1
  Si  Si10  1  0.15367043  0.77331533  0.96180189  1
  Si  Si11  1  0.79915142  0.06440642  0.46310169  1
  Si  Si12  1  0.84616342  0.15855919  0.17190688  1
  Si  Si13  1  0.10842798  0.68343118  0.25273705  1
  Si  Si14  1  0.10887849  0.68338539  0.67141812  1
  Si  Si15  1  0.84549203  0.15652870  0.75278433  1
"
"Full Formula (Ho4)
Reduced Formula: Ho
abc   :   4.985528   5.001985   6.165851
angles: 113.680666 113.532832  90.362601
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Ho    0.031406  0.191329  0.160207  [-0.010414768010377884, -0.02020217850804329, -0.023130349814891815]
  1  Ho    0.76236   0.435775  0.644502  [0.01557907648384571, -0.012028854340314865, -0.0067459773272275925]
  2  Ho    0.282134  0.91602   0.635017  [-0.022634286433458328, 0.016814913600683212, 0.00807889923453331]
  3  Ho    0.505146  0.665483  0.122204  [0.017469976097345352, 0.015416121110320091, 0.02179742604494095]","Ho","('Ho',)","0.0","4.0","# generated using pymatgen
data_Ho
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.98552812
_cell_length_b   5.00198467
_cell_length_c   6.16585060
_cell_angle_alpha   113.68066617
_cell_angle_beta   113.53283180
_cell_angle_gamma   90.36260146
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ho
_chemical_formula_sum   Ho4
_cell_volume   126.53300933
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.03140558  0.19132928  0.16020737  1
  Ho  Ho1  1  0.76235982  0.43577534  0.64450227  1
  Ho  Ho2  1  0.28213362  0.91601953  0.63501726  1
  Ho  Ho3  1  0.50514597  0.66548275  0.12220414  1
"
"Full Formula (La8 Sn2 Bi4)
Reduced Formula: La4SnBi2
abc   :   8.536310   8.554831   8.534396
angles: 109.640712 109.372590 109.301238
pbc   :       True       True       True
Sites (14)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ---------------------------------------------------------------------
  0  La    0.526194  0.607928   0.2553    [-0.024784764274954796, -0.01820637285709381, 0.023392222821712494]
  1  La    0.03783   0.747225   0.60614   [-0.004360102117061615, 0.011160030961036682, 0.0003513544797897339]
  2  La    0.047415  0.757635   0.122974  [-0.025997262448072433, -0.011726915836334229, 0.012081578373908997]
  3  La    0.66484   0.227407   0.438287  [0.0040107667446136475, -0.024750851094722748, -0.009757399559020996]
  4  La    0.886164  0.117007   0.805004  [0.0009287595748901367, 0.017903625965118408, 0.0010393131524324417]
  5  La    0.555152  0.894141  -0.040646  [0.03433428704738617, -0.012340627610683441, -0.03213523328304291]
  6  La    0.402158  0.252596   0.759338  [0.002935219556093216, 0.04617176949977875, 0.015119433403015137]
  7  La    0.180835  0.375124   0.398296  [0.010418519377708435, -0.023335881531238556, 0.02190260775387287]
  8  Sn    0.405737  0.871558   0.517555  [-0.0037655867636203766, 0.025456884875893593, -0.004797481000423431]
  9  Sn    0.907585  0.987174   0.385974  [0.007828000001609325, 0.01611896976828575, -0.007998690009117126]
 10  Bi    0.671501  0.617542   0.69906   [0.009018471464514732, -0.012528501451015472, -0.01585981994867325]
 11  Bi    0.79801   0.379867   0.145291  [-0.011769678443670273, -0.009546484798192978, 0.006110712885856628]
 12  Bi    0.167595  0.510639   0.827331  [0.006332032382488251, -0.0068298205733299255, -0.003986157476902008]
 13  Bi    0.273051  0.117102   1.06262   [-0.005128644406795502, 0.002454180270433426, -0.005462318658828735]","La4SnBi2","('Bi', 'La', 'Sn')","0.0","5.0","# generated using pymatgen
data_La4SnBi2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.53631047
_cell_length_b   8.55483142
_cell_length_c   8.53439619
_cell_angle_alpha   109.64071206
_cell_angle_beta   109.37259013
_cell_angle_gamma   109.30123778
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La4SnBi2
_chemical_formula_sum   'La8 Sn2 Bi4'
_cell_volume   480.35190952
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.52619409  0.60792816  0.25530006  1
  La  La1  1  0.03782964  0.74722463  0.60613982  1
  La  La2  1  0.04741508  0.75763454  0.12297350  1
  La  La3  1  0.66484020  0.22740724  0.43828744  1
  La  La4  1  0.88616362  0.11700743  0.80500401  1
  La  La5  1  0.55515160  0.89414079  -0.04064637  1
  La  La6  1  0.40215848  0.25259600  0.75933793  1
  La  La7  1  0.18083477  0.37512440  0.39829640  1
  Sn  Sn8  1  0.40573729  0.87155769  0.51755507  1
  Sn  Sn9  1  0.90758526  0.98717420  0.38597435  1
  Bi  Bi10  1  0.67150124  0.61754216  0.69906001  1
  Bi  Bi11  1  0.79800964  0.37986688  0.14529063  1
  Bi  Bi12  1  0.16759506  0.51063910  0.82733130  1
  Bi  Bi13  1  0.27305113  0.11710198  1.06262339  1
"
