cycle,n_input,K,n_oracle,n_gp,is_anchor,target_cp,ltm_size,mean_oracle_cp,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,6,3,6,0,0,1.5000,447,0.2090,0.0000,0.0820,0.0540,875.82
1,7,4,4,3,0,1.5000,448,0.1974,0.0000,0.0813,0.0533,223.45
2,5,3,3,2,0,1.5000,449,0.3157,0.0000,0.0816,0.0534,92.93
3,7,4,4,3,0,1.5000,451,0.3347,0.0000,0.0813,0.0535,166.95
4,8,4,4,4,0,1.5000,454,0.2771,0.0000,0.0832,0.0548,99.51
5,6,3,3,3,0,1.5000,455,0.1595,0.0000,0.0818,0.0533,187.81
6,6,3,3,3,0,1.5000,455,nan,0.0000,0.0818,0.0533,156.81
7,6,3,3,3,0,1.5000,457,0.2888,0.0001,0.0828,0.0536,280.36
8,11,4,4,7,0,1.5000,459,0.2239,0.0001,0.0841,0.0558,128.09
9,5,3,3,2,0,1.5000,460,0.1899,0.0001,0.0837,0.0553,89.66
10,7,4,4,3,0,1.5000,461,0.3264,0.0001,0.0828,0.0558,245.50
11,8,4,4,4,0,1.5000,462,0.2182,0.0001,0.0821,0.0545,300.52
12,5,3,3,2,0,1.5000,462,nan,0.0001,0.0821,0.0545,219.77
13,9,4,4,5,0,1.5000,463,0.3471,0.0001,0.0835,0.0555,231.83
14,3,2,2,1,0,1.5000,465,0.1365,0.0001,0.0834,0.0556,75.32
15,9,4,4,5,0,1.5000,467,0.3477,0.0001,0.0832,0.0548,239.31
16,8,4,4,4,0,1.5000,469,0.2469,0.0001,0.0845,0.0563,241.47
17,7,4,4,3,0,1.5000,472,0.2734,0.0002,0.0830,0.0550,280.81
18,6,3,3,3,0,1.5000,473,0.4811,0.0002,0.0817,0.0544,167.10
19,8,4,4,4,0,1.5000,474,0.1320,0.0002,0.0824,0.0553,275.82
