"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Er2 Mn4 Si2)
Reduced Formula: ErMn2Si
abc   :   3.932103   3.910629   8.489604
angles:  76.641612  89.998910  89.999893
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  -----------------------------------------------------------------------
  0  Si    0.327439  0.92185   0.895075  [-0.0006922578904777765, 0.0397140309214592, -0.038537442684173584]
  1  Mn    0.827378  0.261223  0.227366  [0.00015754252672195435, -0.021205637603998184, 0.007378391921520233]
  2  Mn    0.827423  0.833773  0.068101  [-0.00017034122720360756, 0.013501460663974285, -0.0033904314041137695]
  3  Si    0.827373  0.671553  0.403165  [0.00016016256995499134, -0.004851974546909332, 0.017425715923309326]
  4  Mn    0.327416  0.33401   0.070373  [-2.0592560758814216e-06, 0.010518109425902367, 0.0021187514066696167]
  5  Er    0.327367  0.122075  0.501759  [0.0002953822258859873, 0.008200012147426605, -0.0009762346744537354]
  6  Er    0.82743   0.47226   0.795878  [-6.108405068516731e-05, -0.009873999282717705, 0.008985012769699097]
  7  Mn    0.327379  0.762236  0.229743  [0.0003126434748992324, -0.03600200265645981, 0.006995931267738342]","ErMn2Si","('Er', 'Mn', 'Si')","0.02935123881558718","0.0","# generated using pymatgen
data_ErMn2Si
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.93210340
_cell_length_b   3.91062938
_cell_length_c   8.48960353
_cell_angle_alpha   76.64161244
_cell_angle_beta   89.99891031
_cell_angle_gamma   89.99989271
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ErMn2Si
_chemical_formula_sum   'Er2 Mn4 Si2'
_cell_volume   127.01260180
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Si  Si0  1  0.32743890  0.92185006  0.89507481  1
  Mn  Mn1  1  0.82737769  0.26122327  0.22736650  1
  Mn  Mn2  1  0.82742321  0.83377345  0.06810141  1
  Si  Si3  1  0.82737295  0.67155307  0.40316485  1
  Mn  Mn4  1  0.32741637  0.33401038  0.07037334  1
  Er  Er5  1  0.32736688  0.12207455  0.50175946  1
  Er  Er6  1  0.82742971  0.47226033  0.79587831  1
  Mn  Mn7  1  0.32737862  0.76223590  0.22974283  1
"
"Full Formula (Na2 Li4)
Reduced Formula: NaLi2
abc   :   5.261173   5.373101   6.101438
angles: 117.130391  90.081507  89.877819
pbc   :       True       True       True
Sites (6)
  #  SP           a          b          c  forces
---  ----  --------  ---------  ---------  -----------------------------------------------------------------------
  0  Li    0.390355   0.347333   0.69323   [0.0213589146733284, -0.04412321001291275, -0.01998230442404747]
  1  Li    0.901265   0.722807   0.677712  [-0.007974857464432716, 0.03708817437291145, 0.003909721039235592]
  2  Na    0.898002   0.06137    0.313598  [-0.0005145343020558357, -0.0004989635199308395, 0.0005275155417621136]
  3  Li    0.402132  -0.019513  -0.03745   [-0.01800309121608734, -0.03127421438694, 0.008889678865671158]
  4  Li    0.891785   0.356096   0.949332  [0.016071854159235954, 0.051693178713321686, 0.021578986197710037]
  5  Na    0.399731   0.646272   0.330839  [-0.010938288643956184, -0.0128849558532238, -0.014923601411283016]","NaLi2","('Li', 'Na')","0.9563847906761972","0.0","# generated using pymatgen
data_NaLi2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.26117274
_cell_length_b   5.37310106
_cell_length_c   6.10143815
_cell_angle_alpha   117.13039115
_cell_angle_beta   90.08150712
_cell_angle_gamma   89.87781944
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaLi2
_chemical_formula_sum   'Na2 Li4'
_cell_volume   153.50220519
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.39035536  0.34733334  0.69323022  1
  Li  Li1  1  0.90126537  0.72280663  0.67771185  1
  Na  Na2  1  0.89800190  0.06137015  0.31359756  1
  Li  Li3  1  0.40213233  -0.01951281  -0.03745044  1
  Li  Li4  1  0.89178491  0.35609632  0.94933156  1
  Na  Na5  1  0.39973128  0.64627174  0.33083911  1
"
"Full Formula (Mg5 Sc1)
Reduced Formula: Mg5Sc
abc   :   3.196477   3.196225  15.752768
angles:  89.987003  90.017999 119.987448
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ----------------------------------------------------------------------
  0  Sc    0.291508  0.712593  0.958153  [0.0006316970684565604, 0.00012347474694252014, -0.02717594988644123]
  1  Mg    0.958203  0.045934  0.789889  [-0.003271841909736395, 0.0007048543775454164, 0.0029724016785621643]
  2  Mg    0.62517   0.379258  0.125679  [-0.0032415702007710934, 0.00029009534046053886, 0.011171326041221619]
  3  Mg    0.622969  0.37987   0.622738  [0.0011282800696790218, -8.16485844552517e-05, 0.0027458742260932922]
  4  Mg    0.955476  0.04698   0.457901  [0.0017130021005868912, -0.0009091871324926615, -0.009263897314667702]
  5  Mg    0.289175  0.713168  0.292531  [0.003040427342057228, -0.00012759340461343527, 0.019550245255231857]","Mg5Sc","('Mg', 'Sc')","0.35255605855942573","0.0","# generated using pymatgen
data_Mg5Sc
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.19647670
_cell_length_b   3.19622534
_cell_length_c   15.75276818
_cell_angle_alpha   89.98700305
_cell_angle_beta   90.01799932
_cell_angle_gamma   119.98744755
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg5Sc
_chemical_formula_sum   'Mg5 Sc1'
_cell_volume   139.39633115
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sc  Sc0  1  0.29150751  0.71259288  0.95815300  1
  Mg  Mg1  1  0.95820287  0.04593352  0.78988854  1
  Mg  Mg2  1  0.62517010  0.37925754  0.12567859  1
  Mg  Mg3  1  0.62296853  0.37986956  0.62273842  1
  Mg  Mg4  1  0.95547605  0.04698045  0.45790101  1
  Mg  Mg5  1  0.28917495  0.71316756  0.29253051  1
"
"Full Formula (Ce1 Hf3)
Reduced Formula: CeHf3
abc   :   3.159489   3.161734  11.034078
angles:  90.019525  90.017422 120.012247
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Hf    0.462816  0.436404  0.376327  [0.007430566940456629, 0.007494642864912748, 0.04202134534716606]
  1  Hf    0.477402  0.447314  0.843788  [-0.001856581773608923, -0.002727164886891842, -0.03171766549348831]
  2  Ce    0.137563  0.775816  0.110485  [-7.707905024290085e-05, -0.0002014221390709281, -0.0030090580694377422]
  3  Hf    0.143084  0.779126  0.610585  [-0.005496895872056484, -0.004566066432744265, -0.0072946189902722836]","CeHf3","('Ce', 'Hf')","0.0","0.0","# generated using pymatgen
data_CeHf3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.15948917
_cell_length_b   3.16173401
_cell_length_c   11.03407799
_cell_angle_alpha   90.01952527
_cell_angle_beta   90.01742201
_cell_angle_gamma   120.01224708
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CeHf3
_chemical_formula_sum   'Ce1 Hf3'
_cell_volume   95.44543970
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.46281567  0.43640419  0.37632734  1
  Hf  Hf1  1  0.47740245  0.44731440  0.84378834  1
  Ce  Ce2  1  0.13756293  0.77581582  0.11048463  1
  Hf  Hf3  1  0.14308366  0.77912576  0.61058510  1
"
"Full Formula (Sm1 Sb3)
Reduced Formula: SmSb3
abc   :   4.300298   4.480516   7.826832
angles: 124.453906 106.410128  89.999500
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  Sb    0.967296  0.485952  0.919092  [0.022103115916252136, -0.03293607756495476, -0.003853216767311096]
  1  Sb    0.252707  0.522107  0.469817  [-0.009564698673784733, 0.04605382680892944, 0.0076889768242836]
  2  Sb    0.743508  0.995942  0.441374  [-0.027207136154174805, 0.040616124868392944, 0.010213375091552734]
  3  Sm    0.53171   0.110152  0.044531  [0.014668699353933334, -0.053733889013528824, -0.014049097895622253]","SmSb3","('Sb', 'Sm')","0.0","1.0","# generated using pymatgen
data_SmSb3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30029848
_cell_length_b   4.48051629
_cell_length_c   7.82683207
_cell_angle_alpha   124.45390600
_cell_angle_beta   106.41012775
_cell_angle_gamma   89.99950047
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SmSb3
_chemical_formula_sum   'Sm1 Sb3'
_cell_volume   116.82440446
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sb  Sb0  1  0.96729627  0.48595207  0.91909204  1
  Sb  Sb1  1  0.25270660  0.52210666  0.46981696  1
  Sb  Sb2  1  0.74350837  0.99594161  0.44137394  1
  Sm  Sm3  1  0.53170955  0.11015199  0.04453145  1
"
"Full Formula (Cd1 Pd6 Pt1)
Reduced Formula: CdPd6Pt
abc   :   2.796163   5.391851   9.188903
angles: 105.670802  89.127347  76.345767
pbc   :       True       True       True
Sites (8)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ----------------------------------------------------------------------
  0  Pd    0.035492   0.157911  0.815047  [0.004873238503932953, 0.0042066872119903564, 0.0025674104690551758]
  1  Pd    0.388901   0.459559  0.329339  [0.0364668108522892, -0.007453810423612595, 0.009115632623434067]
  2  Pd    0.315082   0.651186  0.848127  [-0.06896208226680756, 0.003786221146583557, -0.021382048726081848]
  3  Pd    0.771226   0.748819  0.592561  [-0.06911352276802063, 0.003907140344381332, -0.024725928902626038]
  4  Cd    0.48003    0.258619  0.57045   [-0.019905250519514084, 0.006899219937622547, -0.003450147807598114]
  5  Pd    0.106858  -0.035726  0.308992  [0.06934849172830582, -0.005354057997465134, 0.023983212187886238]
  6  Pd    0.569271   0.067636  0.061246  [0.05352466553449631, -0.0035962434485554695, 0.016026552766561508]
  7  Pt    0.845087   0.55369   0.088764  [-0.006232383660972118, -0.002395113930106163, -0.0021346714347600937]","CdPd6Pt","('Cd', 'Pd', 'Pt')","0.0","2.0","# generated using pymatgen
data_CdPd6Pt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.79616340
_cell_length_b   5.39185114
_cell_length_c   9.18890284
_cell_angle_alpha   105.67080150
_cell_angle_beta   89.12734732
_cell_angle_gamma   76.34576694
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CdPd6Pt
_chemical_formula_sum   'Cd1 Pd6 Pt1'
_cell_volume   129.15442173
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.03549221  0.15791089  0.81504661  1
  Pd  Pd1  1  0.38890146  0.45955855  0.32933908  1
  Pd  Pd2  1  0.31508171  0.65118631  0.84812658  1
  Pd  Pd3  1  0.77122596  0.74881853  0.59256124  1
  Cd  Cd4  1  0.48002969  0.25861908  0.57044989  1
  Pd  Pd5  1  0.10685847  -0.03572605  0.30899171  1
  Pd  Pd6  1  0.56927141  0.06763581  0.06124647  1
  Pt  Pt7  1  0.84508730  0.55368973  0.08876388  1
"
"Full Formula (Er2 Al3 Cu1)
Reduced Formula: Er2Al3Cu
abc   :   4.450047   5.693041   7.609843
angles:  47.386288  89.847004  66.825267
pbc   :       True       True       True
Sites (6)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  --------------------------------------------------------------------
  0  Er    0.414759   0.606841  0.333078  [0.01328535657376051, -0.011067306622862816, 0.03221377730369568]
  1  Cu    0.627126   0.19781   0.169968  [-0.018928535282611847, 0.039440810680389404, -0.026791173964738846]
  2  Al    0.698402   0.039791  0.928827  [0.02371670864522457, -0.05862545594573021, 0.03672648221254349]
  3  Al    0.119649   0.209601  0.320599  [-0.020831545814871788, 0.0575103759765625, -0.02745085582137108]
  4  Al    0.222386  -0.005618  0.764386  [0.012343069538474083, -0.03406141698360443, 0.013942908495664597]
  5  Er    0.918509   0.60809   0.754277  [-0.009585060179233551, 0.006802964955568314, -0.02864115685224533]","Er2Al3Cu","('Al', 'Cu', 'Er')","0.028064596167918548","2.0","# generated using pymatgen
data_Er2Al3Cu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.45004734
_cell_length_b   5.69304066
_cell_length_c   7.60984328
_cell_angle_alpha   47.38628792
_cell_angle_beta   89.84700391
_cell_angle_gamma   66.82526686
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Er2Al3Cu
_chemical_formula_sum   'Er2 Al3 Cu1'
_cell_volume   120.11072094
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Er  Er0  1  0.41475867  0.60684058  0.33307810  1
  Cu  Cu1  1  0.62712566  0.19780978  0.16996827  1
  Al  Al2  1  0.69840205  0.03979105  0.92882681  1
  Al  Al3  1  0.11964927  0.20960116  0.32059854  1
  Al  Al4  1  0.22238594  -0.00561781  0.76438650  1
  Er  Er5  1  0.91850916  0.60809032  0.75427714  1
"
"Full Formula (Er2 Pd4)
Reduced Formula: ErPd2
abc   :   5.121726   5.097419   6.657519
angles:  53.532175  56.788213  60.979103
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Pd    0.501476  0.805624  0.694311  [-0.005958251655101776, -0.020168859511613846, -0.017207324504852295]
  1  Pd    0.833225  0.135693  0.696214  [-0.02382255531847477, -0.02391907200217247, -0.0009862184524536133]
  2  Er    0.392894  0.193497  0.195503  [0.003683313727378845, -0.0015750173479318619, 0.013316813856363297]
  3  Pd    0.715548  0.514281  0.202504  [0.02841860055923462, 0.02494760975241661, -0.02741190791130066]
  4  Er    0.155618  0.460346  0.697888  [-0.0012171268463134766, 0.006703086197376251, 0.019446000456809998]
  5  Pd    0.049919  0.849339  0.196706  [-0.0011039599776268005, 0.014012224972248077, 0.012842655181884766]","ErPd2","('Er', 'Pd')","0.0","3.0","# generated using pymatgen
data_ErPd2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.12172618
_cell_length_b   5.09741877
_cell_length_c   6.65751925
_cell_angle_alpha   53.53217543
_cell_angle_beta   56.78821268
_cell_angle_gamma   60.97910341
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ErPd2
_chemical_formula_sum   'Er2 Pd4'
_cell_volume   113.60883063
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.50147619  0.80562447  0.69431064  1
  Pd  Pd1  1  0.83322546  0.13569311  0.69621370  1
  Er  Er2  1  0.39289365  0.19349705  0.19550301  1
  Pd  Pd3  1  0.71554834  0.51428137  0.20250364  1
  Er  Er4  1  0.15561799  0.46034581  0.69788813  1
  Pd  Pd5  1  0.04991874  0.84933887  0.19670579  1
"
"Full Formula (Yb2 In2 Ag2)
Reduced Formula: YbInAg
abc   :   5.830996   4.782647   5.931132
angles:  90.017123  92.588654 114.205103
pbc   :       True       True       True
Sites (6)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ----------------------------------------------------------------------
  0  Ag    0.661099   0.337462  0.057275  [-0.005629248917102814, -0.0018913354724645615, 0.017331594601273537]
  1  In    0.645885   0.329554  0.549398  [0.009628651663661003, 0.0089099807664752, -0.0025485754013061523]
  2  In    0.46897    0.741154  0.832324  [0.0015911087393760681, 0.00022818148136138916, -0.025282423943281174]
  3  Yb    0.059496   1.03636   0.807534  [0.004545040428638458, 0.003360047936439514, 0.0013918876647949219]
  4  Ag    0.824109  -0.08079   0.294024  [-0.015729863196611404, -0.015735357999801636, 0.02911180444061756]
  5  Yb    0.224135   0.618508  0.314902  [0.005594309419393539, 0.005128480494022369, -0.020004281774163246]","YbInAg","('Ag', 'In', 'Yb')","0.0","4.0","# generated using pymatgen
data_YbInAg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.83099588
_cell_length_b   4.78264671
_cell_length_c   5.93113229
_cell_angle_alpha   90.01712346
_cell_angle_beta   92.58865388
_cell_angle_gamma   114.20510270
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbInAg
_chemical_formula_sum   'Yb2 In2 Ag2'
_cell_volume   150.67710085
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.66109856  0.33746203  0.05727523  1
  In  In1  1  0.64588485  0.32955418  0.54939813  1
  In  In2  1  0.46896977  0.74115436  0.83232431  1
  Yb  Yb3  1  0.05949555  1.03635586  0.80753351  1
  Ag  Ag4  1  0.82410857  -0.08079022  0.29402431  1
  Yb  Yb5  1  0.22413530  0.61850786  0.31490194  1
"
"Full Formula (Yb3 Gd1)
Reduced Formula: Yb3Gd
abc   :   5.304362   5.316402   5.305931
angles:  90.018112  90.001209  89.978457
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Gd    0.299922  0.068731  0.107601  [0.007743786089122295, 0.011462666094303131, -0.0027651868294924498]
  1  Yb    0.300465  0.570319  0.608142  [0.003740357467904687, -0.016173552721738815, 0.00098228151910007]
  2  Yb    0.801928  0.569656  0.108482  [-0.017457731068134308, -0.010922999121248722, -0.009391904808580875]
  3  Yb    0.799641  0.068689  0.606784  [0.005973588675260544, 0.01563388854265213, 0.01117481105029583]","Yb3Gd","('Gd', 'Yb')","0.0","4.0","# generated using pymatgen
data_Yb3Gd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.30436242
_cell_length_b   5.31640209
_cell_length_c   5.30593123
_cell_angle_alpha   90.01811214
_cell_angle_beta   90.00120944
_cell_angle_gamma   89.97845706
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Yb3Gd
_chemical_formula_sum   'Yb3 Gd1'
_cell_volume   149.62789781
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.29992171  0.06873101  0.10760116  1
  Yb  Yb1  1  0.30046477  0.57031892  0.60814234  1
  Yb  Yb2  1  0.80192828  0.56965568  0.10848190  1
  Yb  Yb3  1  0.79964092  0.06868855  0.60678399  1
"
