"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Tm2 In1 Ga1)
Reduced Formula: Tm2InGa
abc   :   5.611602   4.165225   5.610888
angles:  68.219444  60.516807  68.207519
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Tm    0.062462  0.565512  0.624133  [0.0026075895875692368, 0.008180411532521248, -0.026036664843559265]
  1  In    0.764665  0.355346  0.342333  [-0.004614483565092087, -0.004381967708468437, -0.00393037311732769]
  2  Tm    0.482193  0.144933  0.045021  [0.031713586300611496, -0.011660438030958176, -0.0007936405017971992]
  3  Ga    0.089997  0.854985  1.01642   [-0.029706671833992004, 0.007861997932195663, 0.030760662630200386]","Tm2InGa","('Ga', 'In', 'Tm')","0.0","0.0","# generated using pymatgen
data_Tm2InGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.61160232
_cell_length_b   4.16522498
_cell_length_c   5.61088804
_cell_angle_alpha   68.21944437
_cell_angle_beta   60.51680723
_cell_angle_gamma   68.20751874
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tm2InGa
_chemical_formula_sum   'Tm2 In1 Ga1'
_cell_volume   103.08662096
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tm  Tm0  1  0.06246191  0.56551248  0.62413273  1
  In  In1  1  0.76466495  0.35534640  0.34233309  1
  Tm  Tm2  1  0.48219282  0.14493283  0.04502096  1
  Ga  Ga3  1  0.08999741  0.85498470  1.01642214  1
"
"Full Formula (Nd1 Zn1 Ni4)
Reduced Formula: NdZnNi4
abc   :   3.943552   5.067363   5.064888
angles: 120.017027  89.999339  90.000927
pbc   :       True       True       True
Sites (6)
  #  SP           a          b          c  forces
---  ----  --------  ---------  ---------  ---------------------------------------------------------------------
  0  Ni    0.872338   0.846093   0.952725  [-0.001051934901624918, -0.017417199909687042, 0.03809119760990143]
  1  Ni    0.87221    0.352393   0.46344   [0.003596807597205043, 0.014472898095846176, -0.02878127619624138]
  2  Ni    0.872224   0.354938   0.955325  [0.00295957806520164, -0.005805719643831253, 0.014093320816755295]
  3  Zn    0.372082   0.18472    1.12544   [0.00126222288236022, -0.00768005196005106, -0.02610684558749199]
  4  Ni    0.372176   0.517914  -0.209522  [0.0013987421989440918, 0.00047975219786167145, 0.014029789716005325]
  5  Nd    0.374131  -0.149282   0.457918  [-0.008165378123521805, 0.015950370579957962, -0.011326154693961143]","NdZnNi4","('Nd', 'Ni', 'Zn')","0.03943992632683797","1.0","# generated using pymatgen
data_NdZnNi4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.94355168
_cell_length_b   5.06736288
_cell_length_c   5.06488813
_cell_angle_alpha   120.01702672
_cell_angle_beta   89.99933912
_cell_angle_gamma   90.00092745
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdZnNi4
_chemical_formula_sum   'Nd1 Zn1 Ni4'
_cell_volume   87.63861251
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.87233830  0.84609255  0.95272479  1
  Ni  Ni1  1  0.87220998  0.35239282  0.46344045  1
  Ni  Ni2  1  0.87222409  0.35493752  0.95532458  1
  Zn  Zn3  1  0.37208165  0.18472013  1.12544403  1
  Ni  Ni4  1  0.37217586  0.51791365  -0.20952239  1
  Nd  Nd5  1  0.37413112  -0.14928175  0.45791824  1
"
"Full Formula (Nd2 Al4 Pd2)
Reduced Formula: NdAl2Pd
abc   :   4.356775   5.945335   6.960773
angles:  82.781638  90.003410 111.462760
pbc   :       True       True       True
Sites (8)
  #  SP           a         b          c  forces
---  ----  --------  --------  ---------  ----------------------------------------------------------------------
  0  Pd    0.705838  0.693647   0.793914  [0.007161661982536316, 0.007606539875268936, -0.006417319178581238]
  1  Nd    0.141685  0.562836   0.119146  [0.004346558824181557, 0.013894418254494667, -0.009157873690128326]
  2  Pd    0.380526  0.042324   0.297629  [0.01012076810002327, 0.01553933322429657, 0.0007172003388404846]
  3  Al    0.857296  0.992374   1.0486    [-0.012158315628767014, 0.007723156362771988, 0.020650219172239304]
  4  Al    0.482204  0.242619  -0.066112  [-0.010173923335969448, 0.0018643662333488464, -0.00207156827673316]
  5  Al    0.314041  0.910016   0.675754  [0.001608691643923521, -0.014518897980451584, 0.0012239590287208557]
  6  Al    0.766482  0.813357   0.429339  [-0.007879931479692459, -0.014725487679243088, 1.0388903319835663e-06]
  7  Nd    0.029672  0.341112   0.607159  [0.006974493153393269, -0.01738351583480835, -0.004945714026689529]","NdAl2Pd","('Al', 'Nd', 'Pd')","0.03523376324132269","2.0","# generated using pymatgen
data_NdAl2Pd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.35677478
_cell_length_b   5.94533466
_cell_length_c   6.96077322
_cell_angle_alpha   82.78163761
_cell_angle_beta   90.00340969
_cell_angle_gamma   111.46276026
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdAl2Pd
_chemical_formula_sum   'Nd2 Al4 Pd2'
_cell_volume   166.26255661
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.70583817  0.69364682  0.79391376  1
  Nd  Nd1  1  0.14168544  0.56283556  0.11914640  1
  Pd  Pd2  1  0.38052611  0.04232351  0.29762874  1
  Al  Al3  1  0.85729566  0.99237384  1.04859977  1
  Al  Al4  1  0.48220408  0.24261921  -0.06611220  1
  Al  Al5  1  0.31404113  0.91001554  0.67575389  1
  Al  Al6  1  0.76648247  0.81335739  0.42933923  1
  Nd  Nd7  1  0.02967188  0.34111219  0.60715944  1
"
"Full Formula (Sr1 La5 Ru2 O12)
Reduced Formula: SrLa5(RuO6)2
abc   :   6.994144   6.734224   6.735839
angles: 100.143141  91.088868  88.833104
pbc   :       True       True       True
Sites (20)
  #  SP            a          b          c  forces
---  ----  ---------  ---------  ---------  -----------------------------------------------------------------------
  0  O      0.062832   0.3096     0.092387  [0.008833765983581543, 0.003246903419494629, 0.015517234802246094]
  1  Ru     0.527117   0.910756   0.893965  [-0.0023183226585388184, 0.0008903518319129944, -0.0015019699931144714]
  2  Sr     0.779916   0.510373  -0.005569  [0.0030419344548135996, -0.019991490989923477, -0.03516985848546028]
  3  O      0.017914   0.512838   0.69729   [-0.008583405055105686, -0.003600478172302246, 0.007420152425765991]
  4  O      0.496749   0.609124   0.794299  [-0.0009954869747161865, 0.005734294652938843, -0.005157500505447388]
  5  O      0.240317  -0.048406   0.798452  [-0.003637462854385376, 0.003680456429719925, 0.002320490777492523]
  6  O      0.54313    0.214244   0.996485  [0.0018727704882621765, -0.0017448663711547852, -0.004264168441295624]
  7  La    -0.071512   0.842761   0.636927  [0.004525638185441494, -0.0016310065984725952, 0.0016719698905944824]
  8  La     0.127578   0.972992   0.149774  [-0.011087130755186081, -0.0019380152225494385, -0.0019380003213882446]
  9  O      0.957846   0.128136   0.447409  [0.0018137991428375244, 0.0010512471199035645, 0.008500829339027405]
 10  O      0.813761   0.883898   0.987356  [-0.004041135311126709, -0.004903165623545647, 0.004332512617111206]
 11  O      0.746838   0.504644   0.368819  [0.001699596643447876, -0.007138922810554504, -0.026256946846842766]
 12  Ru     0.033393   0.409987   0.393991  [0.0012810081243515015, 0.0014631720259785652, 0.008203871548175812]
 13  O      0.60228    0.9651     0.612211  [0.003125891089439392, -0.0038915127515792847, -0.0018687546253204346]
 14  La     0.280315   0.314899   0.798634  [-0.0005134493112564087, 7.733702659606934e-05, -0.0009294301271438599]
 15  O      0.454715   0.858782   0.176431  [-0.010930530726909637, 0.013000018894672394, -0.001742541790008545]
 16  O      0.106263   0.692125   0.342272  [0.0043625980615615845, 0.002364814281463623, 0.016102544963359833]
 17  O      0.319944   0.314907   0.434436  [0.006448030471801758, 0.01168237254023552, 0.026294812560081482]
 18  La     0.43289    0.667058   0.458236  [0.0076387859880924225, -0.001508571207523346, -0.01705475151538849]
 19  La     0.631561   0.153535   0.326095  [-0.00253722514025867, 0.003156987950205803, 0.005519837141036987]","SrLa5(RuO6)2","('La', 'O', 'Ru', 'Sr')","0.06718161906793171","2.0","# generated using pymatgen
data_SrLa5(RuO6)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.99414366
_cell_length_b   6.73422437
_cell_length_c   6.73583907
_cell_angle_alpha   100.14314096
_cell_angle_beta   91.08886842
_cell_angle_gamma   88.83310399
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrLa5(RuO6)2
_chemical_formula_sum   'Sr1 La5 Ru2 O12'
_cell_volume   312.19735161
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.06283158  0.30959975  0.09238732  1
  Ru  Ru1  1  0.52711711  0.91075629  0.89396506  1
  Sr  Sr2  1  0.77991581  0.51037256  -0.00556918  1
  O  O3  1  0.01791397  0.51283785  0.69728996  1
  O  O4  1  0.49674882  0.60912442  0.79429936  1
  O  O5  1  0.24031721  -0.04840626  0.79845221  1
  O  O6  1  0.54313001  0.21424367  0.99648471  1
  La  La7  1  -0.07151186  0.84276096  0.63692729  1
  La  La8  1  0.12757819  0.97299199  0.14977368  1
  O  O9  1  0.95784590  0.12813620  0.44740943  1
  O  O10  1  0.81376064  0.88389840  0.98735568  1
  O  O11  1  0.74683768  0.50464387  0.36881944  1
  Ru  Ru12  1  0.03339259  0.40998699  0.39399105  1
  O  O13  1  0.60228033  0.96509990  0.61221143  1
  La  La14  1  0.28031525  0.31489852  0.79863400  1
  O  O15  1  0.45471521  0.85878230  0.17643093  1
  O  O16  1  0.10626288  0.69212524  0.34227247  1
  O  O17  1  0.31994394  0.31490741  0.43443581  1
  La  La18  1  0.43289034  0.66705793  0.45823624  1
  La  La19  1  0.63156127  0.15353500  0.32609539  1
"
"Full Formula (Ag2 Sn1 Pd1)
Reduced Formula: Ag2SnPd
abc   :   4.027687   5.375751   5.372168
angles:  44.017464  68.038191  67.945167
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ------------------------------------------------------------------------
  0  Ag    0.759592  0.638246  0.387452  [-0.002463211305439472, -0.000809621880762279, 1.9295141100883484e-05]
  1  Sn    0.509493  0.388442  0.137433  [0.0003373976796865463, -0.0015434176893904805, -0.0015537422150373459]
  2  Ag    0.259394  0.138004  0.887605  [0.0026761088520288467, 0.0026126704178750515, 0.0007289834320545197]
  3  Pd    0.00965   0.888333  0.637198  [-0.0005502942949533463, -0.00025962572544813156, 0.0008054450154304504]","Ag2SnPd","('Ag', 'Pd', 'Sn')","0.0","2.0","# generated using pymatgen
data_Ag2SnPd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.02768727
_cell_length_b   5.37575067
_cell_length_c   5.37216845
_cell_angle_alpha   44.01746370
_cell_angle_beta   68.03819128
_cell_angle_gamma   67.94516652
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag2SnPd
_chemical_formula_sum   'Ag2 Sn1 Pd1'
_cell_volume   73.92941514
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.75959205  0.63824591  0.38745227  1
  Sn  Sn1  1  0.50949325  0.38844167  0.13743302  1
  Ag  Ag2  1  0.25939386  0.13800351  0.88760486  1
  Pd  Pd3  1  0.00965037  0.88833344  0.63719830  1
"
"Full Formula (Sr3 Mn1 Zn9)
Reduced Formula: Sr3MnZn9
abc   :   4.466590   8.662815   9.324940
angles:  56.576910  90.197645  75.141889
pbc   :       True       True       True
Sites (13)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  ----------------------------------------------------------------------
  0  Zn    0.340868   0.31819   0.909315  [-0.029129253700375557, 0.024219613522291183, -0.033720795065164566]
  1  Zn    0.527517   0.925978  0.734428  [0.0011921068653464317, 0.005277259275317192, 0.005256731994450092]
  2  Zn    1.01554    0.943799  0.300528  [0.022580578923225403, -0.026978284120559692, 0.032755397260189056]
  3  Zn    0.329421   0.329107  0.605367  [-0.008177095092833042, 0.009253142401576042, -0.016007844358682632]
  4  Sr    0.363965   0.24634   0.280178  [0.008999405428767204, -0.010687217116355896, 0.0017054881900548935]
  5  Sr    0.967254   0.052297  0.889409  [-0.006430899258702993, 0.010349459946155548, 0.001658111810684204]
  6  Sr    0.676449   0.635423  0.619967  [-0.007487194612622261, 0.0021608350798487663, 0.0001799464225769043]
  7  Mn    0.170058   0.642806  0.278461  [-0.004367825575172901, 0.002063630148768425, -0.022776857018470764]
  8  Zn    0.662533   0.654368  1.08143   [0.006407193839550018, -0.0038697682321071625, -0.0019099314231425524]
  9  Zn    0.788012   0.407889  0.427218  [0.000699077732861042, -0.0006779693067073822, -0.005802242085337639]
 10  Zn    0.544991   0.888371  0.191749  [0.0047007715329527855, -0.003443412482738495, 0.0006767937447875738]
 11  Zn    1.00022   -0.02213   0.568602  [0.007154175546020269, -0.005275199189782143, 0.014937473461031914]
 12  Zn    0.16331    0.655074  0.901356  [0.003858972107991576, -0.0023920703679323196, 0.023047693073749542]","Sr3MnZn9","('Mn', 'Sr', 'Zn')","0.05880870654685154","2.0","# generated using pymatgen
data_Sr3MnZn9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.46659016
_cell_length_b   8.66281458
_cell_length_c   9.32494008
_cell_angle_alpha   56.57691004
_cell_angle_beta   90.19764492
_cell_angle_gamma   75.14188898
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sr3MnZn9
_chemical_formula_sum   'Sr3 Mn1 Zn9'
_cell_volume   286.35389452
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.34086770  0.31818967  0.90931507  1
  Zn  Zn1  1  0.52751738  0.92597821  0.73442837  1
  Zn  Zn2  1  1.01553881  0.94379906  0.30052781  1
  Zn  Zn3  1  0.32942081  0.32910691  0.60536657  1
  Sr  Sr4  1  0.36396521  0.24633976  0.28017752  1
  Sr  Sr5  1  0.96725388  0.05229701  0.88940946  1
  Sr  Sr6  1  0.67644864  0.63542281  0.61996731  1
  Mn  Mn7  1  0.17005798  0.64280591  0.27846132  1
  Zn  Zn8  1  0.66253304  0.65436789  1.08142642  1
  Zn  Zn9  1  0.78801212  0.40788888  0.42721790  1
  Zn  Zn10  1  0.54499083  0.88837055  0.19174851  1
  Zn  Zn11  1  1.00021629  -0.02212952  0.56860195  1
  Zn  Zn12  1  0.16330993  0.65507376  0.90135557  1
"
"Full Formula (Ba2 Sr1 Sm2 Zr2 Ru1 O12)
Reduced Formula: Ba2SrSm2Zr2RuO12
abc   :   5.914880   5.972285   8.455373
angles:  88.788609  90.056948  89.964136
pbc   :       True       True       True
Sites (20)
  #  SP           a          b         c  forces
---  ----  --------  ---------  --------  -----------------------------------------------------------------------
  0  O     0.946165   0.385138  0.123938  [-0.011924751102924347, -0.015616971999406815, -0.001987360417842865]
  1  O     0.647438   0.179546  0.905494  [0.0013514459133148193, -0.0007445216178894043, -0.013403752818703651]
  2  O     0.59504    0.228388  0.394209  [0.014415159821510315, -0.013303801417350769, 0.008647680282592773]
  3  O     0.458871   0.951758  0.654971  [-0.010829553008079529, -0.012615025043487549, 0.0019452571868896484]
  4  O     0.165952   0.687243  0.871992  [-0.028714150190353394, 0.030749499797821045, 0.030878804624080658]
  5  O     0.348676  -0.067397  0.13318   [0.007555689662694931, 0.018131911754608154, 0.0037557780742645264]
  6  O     0.153703   1.14773   0.438983  [0.009402066469192505, -0.00256425142288208, -0.0029438957571983337]
  7  Zr    0.415234   0.922066  0.379852  [0.005357623100280762, -0.005738645792007446, -0.001645505428314209]
  8  Ba    0.410266   0.431571  0.121707  [-0.0023268088698387146, -0.010513141751289368, 0.00038552284240722656]
  9  O     0.169646   0.190896  0.84719   [0.005513370037078857, 0.01967981457710266, -0.0007916688919067383]
 10  O     0.249102   0.627995  0.452068  [0.011744759976863861, -0.010422725230455399, -0.008641913533210754]
 11  Sm    0.414547   0.352261  0.623587  [0.010317325592041016, -0.00971415638923645, -0.0044527798891067505]
 12  O     0.796153   0.45302   0.649193  [0.009283989667892456, 0.01580345630645752, -0.000433189794421196]
 13  O     0.663352   0.704288  0.924203  [-0.02071288228034973, -0.006565362215042114, 0.0029179751873016357]
 14  Zr    0.907138   0.440756  0.883296  [-0.005386799573898315, 0.006492495536804199, 0.00224241241812706]
 15  O     0.72621    0.773604  0.341306  [0.005123138427734375, -0.005233980715274811, -0.006119228899478912]
 16  Sr    0.907771  -0.047345  0.106877  [0.0016003698110580444, -0.007011834532022476, -0.009736806154251099]
 17  Sm    0.913689   0.442032  0.387215  [0.006610843352973461, -0.0024800971150398254, -0.0020944923162460327]
 18  Ru    0.411029  -0.066702  0.887644  [-0.006731647066771984, 0.005691707134246826, 0.0034592668525874615]
 19  Ba    0.912493   0.920879  0.644029  [-0.0016487762331962585, 0.005975611507892609, -0.0019824951887130737]","Ba2SrSm2Zr2RuO12","('Ba', 'O', 'Ru', 'Sm', 'Sr', 'Zr')","0.06965604472103501","2.0","# generated using pymatgen
data_Ba2SrSm2Zr2RuO12
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.91488048
_cell_length_b   5.97228475
_cell_length_c   8.45537325
_cell_angle_alpha   88.78860934
_cell_angle_beta   90.05694753
_cell_angle_gamma   89.96413565
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba2SrSm2Zr2RuO12
_chemical_formula_sum   'Ba2 Sr1 Sm2 Zr2 Ru1 O12'
_cell_volume   298.62205624
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.94616528  0.38513773  0.12393801  1
  O  O1  1  0.64743772  0.17954595  0.90549361  1
  O  O2  1  0.59503973  0.22838804  0.39420927  1
  O  O3  1  0.45887119  0.95175826  0.65497139  1
  O  O4  1  0.16595223  0.68724324  0.87199207  1
  O  O5  1  0.34867576  -0.06739656  0.13317989  1
  O  O6  1  0.15370305  1.14773073  0.43898317  1
  Zr  Zr7  1  0.41523369  0.92206630  0.37985185  1
  Ba  Ba8  1  0.41026635  0.43157109  0.12170684  1
  O  O9  1  0.16964599  0.19089582  0.84719036  1
  O  O10  1  0.24910218  0.62799456  0.45206804  1
  Sm  Sm11  1  0.41454743  0.35226119  0.62358712  1
  O  O12  1  0.79615288  0.45302050  0.64919318  1
  O  O13  1  0.66335165  0.70428838  0.92420338  1
  Zr  Zr14  1  0.90713846  0.44075597  0.88329575  1
  O  O15  1  0.72621011  0.77360400  0.34130648  1
  Sr  Sr16  1  0.90777141  -0.04734538  0.10687700  1
  Sm  Sm17  1  0.91368914  0.44203206  0.38721466  1
  Ru  Ru18  1  0.41102939  -0.06670204  0.88764361  1
  Ba  Ba19  1  0.91249269  0.92087907  0.64402885  1
"
"Full Formula (Ba1 Zn2 As2)
Reduced Formula: Ba(ZnAs)2
abc   :   4.225164   4.224030   7.986764
angles:  98.574029  98.124298 116.796229
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  --------------------------------------------------------------------
  0  As    0.366813  0.686115  0.500249  [-0.017561860382556915, 0.00729166716337204, 0.01113046333193779]
  1  Zn    1.03861   0.681179  0.169592  [0.02005152776837349, -0.012570984661579132, -0.020582739263772964]
  2  Zn    0.66959   0.297723  0.413946  [-0.02483195811510086, 0.0045810602605342865, 0.0009277649223804474]
  3  Ba    0.170643  0.169563  0.790281  [-0.004065750632435083, 0.011050950735807419, 0.011857552453875542]
  4  As    0.650658  0.982561  0.08322   [0.02640802413225174, -0.01035270094871521, -0.0033330582082271576]","Ba(ZnAs)2","('As', 'Ba', 'Zn')","0.02267435290062379","3.0","# generated using pymatgen
data_Ba(ZnAs)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.22516422
_cell_length_b   4.22402992
_cell_length_c   7.98676443
_cell_angle_alpha   98.57402861
_cell_angle_beta   98.12429775
_cell_angle_gamma   116.79622914
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba(ZnAs)2
_chemical_formula_sum   'Ba1 Zn2 As2'
_cell_volume   122.25104740
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  As  As0  1  0.36681274  0.68611533  0.50024921  1
  Zn  Zn1  1  1.03860598  0.68117949  0.16959223  1
  Zn  Zn2  1  0.66958980  0.29772275  0.41394591  1
  Ba  Ba3  1  0.17064335  0.16956305  0.79028072  1
  As  As4  1  0.65065787  0.98256078  0.08321968  1
"
"Full Formula (Hf3 Ta2 Zn1 Cr1 Co5)
Reduced Formula: Hf3Ta2ZnCrCo5
abc   :   5.030836   5.031030   7.924039
angles:  88.933539  91.056932 119.454770
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  forces
---  ----  --------  --------  --------  ---------------------------------------------------------------------
  0  Hf    0.614602  0.04948   0.345517  [-0.021387159824371338, 0.008746564388275146, -0.03216627240180969]
  1  Hf    0.931955  0.730994  0.829968  [0.024498336017131805, -0.014550730586051941, -0.007090283557772636]
  2  Ta    0.947648  0.71641   0.454756  [-0.03358088806271553, 0.015535454265773296, -0.021590769290924072]
  3  Co    0.614592  0.561571  0.16697   [-0.002252623438835144, 0.00955083966255188, 0.011452212929725647]
  4  Co    0.100146  0.562965  0.168398  [0.013613834977149963, -0.006451897323131561, 0.007380589842796326]
  5  Co    0.101566  0.048563  0.166981  [-0.007523739710450172, -0.0040963441133499146, 0.010329090058803558]
  6  Co    0.452276  0.710616  0.641281  [0.0053920261561870575, -0.0020917654037475586, 0.0172991082072258]
  7  Co    0.952236  0.210045  0.641429  [0.0051426962018013, 0.0009370893239974976, 0.014900729060173035]
  8  Ta    0.26493   0.398075  0.912207  [0.018552327528595924, -0.01563889905810356, 0.017863057553768158]
  9  Zn    0.458405  0.205088  0.650289  [0.003106631338596344, -0.0033260881900787354, -0.004160158336162567]
 10  Hf    0.604325  0.05779   0.980915  [0.011893350630998611, 0.0038111284375190735, -0.023878857493400574]
 11  Cr    0.270669  0.393125  0.400345  [-0.017454691231250763, 0.007574722170829773, 0.009661689400672913]","Hf3Ta2ZnCrCo5","('Co', 'Cr', 'Hf', 'Ta', 'Zn')","0.0","3.0","# generated using pymatgen
data_Hf3Ta2ZnCrCo5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.03083568
_cell_length_b   5.03102951
_cell_length_c   7.92403943
_cell_angle_alpha   88.93353895
_cell_angle_beta   91.05693245
_cell_angle_gamma   119.45476956
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf3Ta2ZnCrCo5
_chemical_formula_sum   'Hf3 Ta2 Zn1 Cr1 Co5'
_cell_volume   174.59596778
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.61460231  0.04948017  0.34551656  1
  Hf  Hf1  1  0.93195491  0.73099369  0.82996837  1
  Ta  Ta2  1  0.94764810  0.71641011  0.45475607  1
  Co  Co3  1  0.61459237  0.56157108  0.16696988  1
  Co  Co4  1  0.10014607  0.56296472  0.16839836  1
  Co  Co5  1  0.10156609  0.04856312  0.16698081  1
  Co  Co6  1  0.45227594  0.71061588  0.64128069  1
  Co  Co7  1  0.95223576  0.21004487  0.64142901  1
  Ta  Ta8  1  0.26492952  0.39807510  0.91220733  1
  Zn  Zn9  1  0.45840461  0.20508791  0.65028906  1
  Hf  Hf10  1  0.60432450  0.05779009  0.98091515  1
  Cr  Cr11  1  0.27066888  0.39312490  0.40034452  1
"
"Full Formula (Li3 Cu1 S2)
Reduced Formula: Li3CuS2
abc   :   3.942827   4.113343   7.917852
angles:  62.165056 119.776186 118.616193
pbc   :       True       True       True
Sites (6)
  #  SP            a          b         c  forces
---  ----  ---------  ---------  --------  --------------------------------------------------------------------
  0  S     -0.005455  -0.056504  0.187142  [-0.01825398951768875, -0.04181776940822601, 0.04116179049015045]
  1  Li     0.710705   0.125767  0.818525  [0.011808211915194988, 0.014396237209439278, -0.027810383588075638]
  2  S      0.954266   0.86059   0.69397   [0.003949353471398354, 0.02266479842364788, -0.01974589377641678]
  3  Li     0.232115   0.629823  0.079435  [-0.0253890510648489, -0.04032185673713684, 0.0308045856654644]
  4  Cu     0.683147   1.0063    0.345008  [-0.007389734033495188, 0.02084130048751831, -0.0072822608053684235]
  5  Li     0.180963   0.591482  0.556354  [0.03527525067329407, 0.024237241595983505, -0.01712784916162491]","Li3CuS2","('Cu', 'Li', 'S')","0.3553230643852133","3.0","# generated using pymatgen
data_Li3CuS2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.94282730
_cell_length_b   4.11334307
_cell_length_c   7.91785161
_cell_angle_alpha   62.16505568
_cell_angle_beta   119.77618571
_cell_angle_gamma   118.61619298
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li3CuS2
_chemical_formula_sum   'Li3 Cu1 S2'
_cell_volume   93.31740162
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  S  S0  1  -0.00545525  -0.05650414  0.18714222  1
  Li  Li1  1  0.71070492  0.12576729  0.81852464  1
  S  S2  1  0.95426606  0.86058996  0.69396974  1
  Li  Li3  1  0.23211532  0.62982330  0.07943474  1
  Cu  Cu4  1  0.68314697  1.00629699  0.34500786  1
  Li  Li5  1  0.18096344  0.59148176  0.55635358  1
"
