cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,8,4,8,0,0,300.0000,508,113.6170,0.0098,23.1129,14.6369,892.87
1,12,4,4,8,0,300.0000,512,116.1621,0.0098,24.2957,15.4167,108.79
2,12,4,4,8,0,300.0000,516,83.8246,0.0097,25.3074,15.0141,167.91
3,7,4,4,3,0,300.0000,520,132.3513,0.0097,24.6729,15.2324,123.48
4,6,3,3,3,0,300.0000,523,117.6446,0.0097,26.3111,15.1226,143.98
5,12,4,4,8,0,300.0000,527,78.6649,0.0097,24.9019,15.5800,127.85
6,9,4,4,5,0,300.0000,531,154.8241,0.0097,24.0173,15.5253,107.32
7,4,2,2,2,0,300.0000,532,176.7693,0.0097,24.9729,15.8693,110.66
8,11,4,4,7,0,300.0000,536,94.3674,0.0096,22.2901,14.6084,138.52
9,11,4,4,7,0,300.0000,540,67.4854,0.0096,25.3000,15.4649,127.06
10,16,4,4,12,0,300.0000,544,96.6699,0.0096,23.4979,14.3356,165.51
11,10,4,4,6,0,300.0000,548,89.2075,0.0095,21.9939,14.2902,143.99
12,11,4,4,7,0,300.0000,552,123.7406,0.0096,22.6612,14.4767,120.78
13,12,4,4,8,0,300.0000,556,105.5060,0.0095,22.4785,14.1851,116.61
14,9,4,4,5,0,300.0000,560,108.3741,0.0093,22.8000,14.6457,230.99
15,11,4,4,7,0,300.0000,564,130.1749,0.0093,23.3675,14.3609,220.12
16,12,4,4,8,0,300.0000,568,103.9701,0.0093,22.7616,14.1779,274.76
17,7,4,4,3,0,300.0000,572,129.6659,0.0091,22.7098,14.5401,192.19
18,6,3,3,3,0,300.0000,575,91.2183,0.0091,23.3996,14.6131,312.98
19,7,4,4,3,0,300.0000,579,80.3372,0.0091,24.3207,14.9645,130.15
