cycle,n_input,K,n_oracle,n_gp,is_anchor,target_K,ltm_size,mean_oracle_K_GPa,gp_rmse_train,gp_rmse_cv5,gp_mae_cv5,elapsed_s
0,5,3,5,0,0,300.0000,505,57.3334,0.0099,25.4620,15.9046,661.27
1,11,4,4,7,0,300.0000,509,84.4740,0.0099,24.9614,15.5978,94.20
2,10,4,4,6,0,300.0000,513,112.5284,0.0098,24.2185,14.9966,126.41
3,8,4,4,4,0,300.0000,517,103.3469,0.0098,25.1964,15.2752,128.31
4,6,3,3,3,0,300.0000,520,79.6581,0.0097,25.1893,15.4193,96.66
5,8,4,4,4,0,300.0000,524,106.9212,0.0097,26.2981,15.9428,227.68
6,8,4,4,4,0,300.0000,528,80.9696,0.0097,25.2203,15.4384,91.43
7,4,2,2,2,0,300.0000,530,87.9790,0.0096,25.3067,14.7098,66.64
8,5,3,3,2,0,300.0000,533,86.5377,0.0096,25.8674,15.5229,87.88
9,8,4,4,4,0,300.0000,537,78.8914,0.0095,25.6353,15.8715,121.27
10,7,4,4,3,0,300.0000,541,112.5901,0.0095,23.8433,14.5360,75.62
11,8,4,4,4,0,300.0000,544,71.7424,0.0094,23.8994,14.8827,197.57
12,9,4,4,5,0,300.0000,548,63.9966,0.0094,24.7501,15.7042,112.40
13,1,1,1,0,0,300.0000,549,198.1739,0.0094,25.7139,15.7875,116.66
14,9,4,4,5,0,300.0000,553,44.7272,0.0094,24.9122,15.0356,127.51
15,10,4,4,6,0,300.0000,557,56.3397,0.0094,24.4571,14.4771,91.45
16,2,1,1,1,0,300.0000,558,75.2718,0.0093,24.1588,14.6440,116.49
17,3,2,2,1,0,300.0000,560,60.5777,0.0093,23.8351,14.4356,119.66
18,5,3,3,2,0,300.0000,563,89.7472,0.0093,25.4323,15.7285,131.13
19,3,2,2,1,0,300.0000,565,54.8528,0.0093,25.1283,15.0054,112.21
